#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          4287.244493488026    All      -0.7206505375137396        0.870115691104445         0.07976547686802148       0.5217244621984051         
Zeropoint     AB|DECam|DECam_i          6922.43900736044     All      0.9175678037784232         0.0390581795006284        0.4678918502492492        -0.2652796224083543        
Zeropoint     AB|DECam|DECam_z          8112.080402949772    All      0.5077214145501446         -0.09894367573277663      -0.0749280380492623       -0.20095447279989256       
Zeropoint     AB|DECam|DECam_r          5698.066427593885    All      0.2912887219652558         0.18911812136739314       -0.47123692832063274      -0.05430946572566427       
Check         All|All|All               All                  All      0.995927402780084          0.9993483162396899        0.0014923607473756317     0.0011809012644939457      
Lambda        AB|DECam|DECam_g          4287.244493488026    All      -0.00044272742187189806    0.0004399378462206837     -0.0002920065179872378    0.00027448220688219225     
Lambda        AB|DECam|DECam_i          6922.43900736044     All      -0.0006646096056730382     -8.541193143015864e-05    -0.0012394614335527279    0.0001333522663993993      
Lambda        AB|DECam|DECam_z          8112.080402949772    All      0.00021819580650096228     -2.088423947183124e-05    0.0004765531138696055     -5.660985973050735e-05     
Lambda        AB|DECam|DECam_r          5698.066427593885    All      -8.374622306157776e-05     -6.838907164129343e-05    -0.0004894738614567481    -1.6840640911820894e-05    
MWEBV         All|All|All               All                  All      -0.5050555768198022        -3.562603266031239        -0.006088946109371069     -0.9962155944066517        
Redshift      All|All|All               All                  All      1.4965770287352047         1.3001219451544088        -2.133002854598684        -0.15917800477551003       
