#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          4287.244493488026    All      -0.6837582709696037       0.8629564149172708         -0.014509526462613831     0.5031683650688914         
Zeropoint     AB|DECam|DECam_i          6922.43900736044     All      0.9410432062986762        0.050801130559996466       0.5628039379968697        -0.26486577727462823       
Zeropoint     AB|DECam|DECam_z          8112.080402949772    All      0.5577398400812325        -0.15953714594552082       -0.1431526721909715       -0.24002895834427246       
Zeropoint     AB|DECam|DECam_r          5698.066427593885    All      0.18150008714749485       0.24470840587689224        -0.4033091983344894       0.002591191712564278       
Check         All|All|All               All                  All      0.9965248625577998        0.9989288054086387         0.00183254100879493       0.0008648211625549851      
Lambda        AB|DECam|DECam_g          4287.244493488026    All      -0.0005017121142721784    0.0005876663958629063      -0.0001707514939258202    0.00034722656529877764     
Lambda        AB|DECam|DECam_i          6922.43900736044     All      -0.0006625290211808798    -0.00010247465181237833    -0.001342974394962377     0.00012249735415591396     
Lambda        AB|DECam|DECam_z          8112.080402949772    All      0.00024657457446725187    -3.7116019949598365e-05    0.000496402194228985      -7.025520970927665e-05     
Lambda        AB|DECam|DECam_r          5698.066427593885    All      -6.586691236526027e-05    -4.2481189962044096e-05    -0.0004216280246596905    -1.1197823118945089e-05    
MWEBV         All|All|All               All                  All      -0.4803219505571099       -3.577745923919018         -0.007187871589331429     -1.0092536520422302        
Redshift      All|All|All               All                  All      1.0789690293073138        0.9531915657328582         -3.584941723662427        -0.20094934192710356       
