#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7719.391131133768    All      0.42327696760783695        -0.09085627495650783      0.08912966863506404        -0.16349266383105573       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4357.836575761806    All      -1.1435336760961046        0.7635096848852996        -0.11450779295629036       0.6160768056502907         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6230.225637276865    All      1.3403019610561393         -0.13731477076248666      -0.009378541398909883      -0.4817269029284289        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5270.400372479611    All      0.37861244878147693        0.46267022599391083       0.035904906024782676       0.02898265450743619        
Check         All|All|All                       All                  All      0.9986577013493491         0.9980088651602159        0.0011482403046464695      -0.00016010660175781385    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7719.391131133768    All      -8.581985666410258e-05     2.1480300179424053e-05    8.516856429311554e-06      3.533125934017665e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4357.836575761806    All      -0.0004770741132687298     0.00016950879133167918    -0.0007913975479348358     0.00017529688616721057     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6230.225637276865    All      -0.00037157946968569824    6.499928673284065e-06     -0.00046025330092147105    0.00010261390753509472     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5270.400372479611    All      7.329675371328591e-05      7.069576680139244e-05     -0.0008587349738140962     -3.916862486137611e-05     
MWEBV         All|All|All                       All                  All      -0.8134213512918071        -4.00989782413852         0.013275831311118627       -1.040605108780811         
Redshift      All|All|All                       All                  All      4.7608403500815175         0.15124835346664867       3.2179984177359207         -1.3578912747182568        
