#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7719.391131133768    All      0.5776368321559158         -0.13675600424045697      0.22094234108402944       -0.22284160770940087      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4357.836575761806    All      -0.9845731741724817        0.8110616277107852        0.23999502328519995       0.5956072052356154        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6230.225637276865    All      1.3046406141467333         -0.16493538118780293      -0.273022737985551        -0.4908730001428524       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5270.400372479611    All      0.0999032693537143         0.48915476736111074       -0.18123861008429998      0.11870417212568318       
Check         All|All|All                       All                  All      0.9976075414838818         0.998525009643636         0.006676016299378418      0.0005967695090453029     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7719.391131133768    All      -0.00011668635933020628    2.4770790295750948e-05    -6.916151656611838e-05    4.299088659817558e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4357.836575761806    All      -0.0006540999231839655     0.00035439621138492913    -0.0007668463465123379    0.0002942795391194477     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6230.225637276865    All      -5.756745615032965e-05     1.0038094234953772e-05    8.948427350015734e-05     2.6014624056939736e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5270.400372479611    All      8.639363241515978e-06      0.00022083305518246624    -0.0007192456626771374    3.7021835880841184e-05    
MWEBV         All|All|All                       All                  All      -0.7880765157721448        -4.019196791334423        0.04273834868055992       -1.0505749582387758       
Redshift      All|All|All                       All                  All      4.3142595346993895         -1.2251422493731567       1.7864884929839508        -1.7246426255810243       
