#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5338.463500029385    All      0.7234535438859551         0.2406553397488409         0.23888254193442648        -0.146603027977882        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7336.94140060004     All      0.49820196979587833        -0.05715443796443509       0.23778429190270955        -0.170286631846789        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4259.918142227787    All      -0.6516678165479759        0.34983542054298766        -0.25881416031761084       0.31467286551382767       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4586.653528383776    All      -0.7849936445550212        0.5087264279894477         -0.5739513826876541        0.3957943756079024        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6046.216544409961    All      1.2303997296353943         -0.046837018996370716      0.37734741595603083        -0.3991987467901592       
Check         All|All|All                      All                  All      1.0153937822142303         0.9952257313204704         0.021248706787901916       -0.0056211654931001       
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5338.463500029385    All      9.560015262940332e-05      5.513031388219582e-06      -0.0008397363955593957     -6.681791773056058e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7336.94140060004     All      -0.0001222634637141733     1.9811209423812444e-06     -0.0001602258713894249     3.3320403998763296e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4259.918142227787    All      -0.00021897855713898327    5.645283278333183e-05      -0.00042294257848943804    7.084308034829384e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4586.653528383776    All      -0.00018340667474128314    -5.867869460435952e-05     -0.0008775668658463713     1.4662278553650667e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6046.216544409961    All      -0.0001451005817374369     -5.8837184585925943e-05    -0.0005724032387511453     2.5550988412390986e-06    
MWEBV         All|All|All                      All                  All      -0.8426699224945104        -3.9665784342398425        0.025006184829101663       -1.0164438646331417       
Redshift      All|All|All                      All                  All      5.385885277338628          -0.28185167210672546       3.00443250778466           -1.7120943634784545       
