#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5338.463500029385    All      0.6656065342732073         0.22800654801438114        0.08643264207393463        -0.13868362029143227      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7336.94140060004     All      0.46692338606464207        -0.0665824415560401        0.10477978375513324        -0.1691045593635925       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4259.918142227787    All      -0.6267679200226008        0.34575179707712067        -0.2022907299534189        0.3077543606176232        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4586.653528383776    All      -0.6954144283804786        0.5742165522242715         0.038994361733945763       0.41530071927110773       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6046.216544409961    All      1.1885731498681322         -0.08420553117884921       -0.027396576588877012      -0.4158084729770872       
Check         All|All|All                      All                  All      0.9989207218029023         0.997186924580884          0.000519481020717711       -0.0005415727433810691    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5338.463500029385    All      0.0001451250987344147      -2.1342118267219446e-05    -0.0007681877105107256     -8.85045385477536e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7336.94140060004     All      -0.00011952787014832528    3.0257152413350526e-06     -0.0001290690517371623     3.4159975668296124e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4259.918142227787    All      -0.0002470700735152659     7.689820905163413e-05      -0.00039774741458080854    8.777748754701278e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4586.653528383776    All      -0.00019821693419913637    -3.3883635147050054e-05    -0.0009735058109326442     1.0085668714760275e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6046.216544409961    All      -0.00010977549631046778    -3.122134985382861e-05     -0.0003122309865276676     1.1654234951905117e-05    
MWEBV         All|All|All                      All                  All      -0.8389019378001876        -3.968855018317363         0.018489931085291986       -1.0187035700190523       
Redshift      All|All|All                      All                  All      5.213498118022486          -0.45038503518251005       2.515746792884127          -1.7326468542605444       
