#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8434.55117684929     All      0.3188142459100733         -0.08019139857395885       0.047126502727587886      -0.12786622593171096       
Zeropoint     AB|PS|PS_i                7339.217021587494    All      0.5942589720210008         -0.11735515143360686       0.4603352113459286        -0.21125348517922327       
Zeropoint     AB|PS|PS_g                4771.41749146644     All      -1.134079644900128         1.2159491585100213         0.028802951534030695      0.766767038361665          
Zeropoint     AB|PS|PS_r                6059.376302111575    All      1.2206324139413165         -0.019280286431033744      -0.53235148334075         -0.4276367601270466        
Check         All|All|All               All                  All      0.9996259869722623         0.9991223220714218         0.003913182266797155      1.0567123684246393e-05     
Lambda        AB|PS|PS_z                8434.55117684929     All      0.0003301464254043666      -8.836373670477235e-05     -1.584889698474018e-05    -0.00013702979185539036    
Lambda        AB|PS|PS_i                7339.217021587494    All      -0.00012099761967386622    -1.4496829960480778e-06    -0.0007367814485277144    6.061523853264257e-06      
Lambda        AB|PS|PS_g                4771.41749146644     All      -0.0002933820465075513     -8.80989614800116e-05      -0.0013310136545517013    7.4704281283246305e-06     
Lambda        AB|PS|PS_r                6059.376302111575    All      -0.00020128008597621884    -1.2408714059460554e-05    -0.000684226313003335     3.098774170530991e-05      
MWEBV         All|All|All               All                  All      -0.70241934211001          -4.0370508937362715        0.06259580789825869       -1.083405839069772         
Redshift      All|All|All               All                  All      5.283409566549576          1.3625949417922278         10.291536960141235        -0.8178742870416935        
