#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                8434.55117684929     All      0.27616720472733647        -0.06667320585673764       0.07806567092382144       -0.1081906884910458       
Zeropoint     AB|PS|PS_i                7339.217021587494    All      0.6452654586508635         -0.11670133194936483       0.7613235552165531        -0.21422327802461255      
Zeropoint     AB|PS|PS_g                4771.41749146644     All      -1.1319606973800895        1.1956018288340253         0.05739805357486416       0.7607251008318799        
Zeropoint     AB|PS|PS_r                6059.376302111575    All      1.2094811493479303         -0.012471723382923017      -0.8986928280863227       -0.4381347850744885       
Check         All|All|All               All                  All      0.9989531153460408         0.9997555676449998         -0.0019055483710839205    0.00017634924173309807    
Lambda        AB|PS|PS_z                8434.55117684929     All      0.0003023314062127174      -7.66250803073273e-05      -3.929600766427747e-05    -0.0001251921952996908    
Lambda        AB|PS|PS_i                7339.217021587494    All      -0.00022088941577719945    1.0402034129841541e-05     -0.0011106642716432753    2.5775389150460028e-05    
Lambda        AB|PS|PS_g                4771.41749146644     All      -0.0002557726933180877     -0.00018441739504816384    -0.0017787575476127513    -5.613501164593585e-05    
Lambda        AB|PS|PS_r                6059.376302111575    All      -0.000333868782687369      -1.2009252374574662e-05    -0.0008284678103336954    6.786952452673552e-05     
MWEBV         All|All|All               All                  All      -0.7047742269247168        -4.033657783687694         0.10171277228454567       -1.0797879175765455       
Redshift      All|All|All               All                  All      6.013740570913136          1.6046628994774714         13.790831689719685        -0.8207601726202176       
