#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5073.065829922423     All      0.3112095244224763        0.6084234608925598        0.5222505543587608        0.12011800078737256        
Zeropoint     AB|PS|PS_z                7061.623380461609     All      0.652675230251531         -0.020889448577321446     0.7639237351718009        -0.18531176778837644       
Zeropoint     AB|PS|PS_g                3994.753557031496     All      -0.7839261233319745       0.48079416173880674       -0.33953128244444963      0.3968092831843295         
Zeropoint     AB|PS|PS_i                6144.5814278980815    All      0.8160484067763294        -0.069783066486373        -0.9438517370257915       -0.3306642219007283        
Check         All|All|All               All                   All      0.9960070381183623        0.9985451075676721        0.0027912700603205387     0.0009512942825973258      
Lambda        AB|PS|PS_r                5073.065829922423     All      -0.0002069811598834872    6.116871016899903e-05     -0.0017900692912911356    7.462663565342231e-06      
Lambda        AB|PS|PS_z                7061.623380461609     All      -0.0003998547026184213    -1.320023707599563e-05    -0.0008433206368450051    8.831255319044297e-05      
Lambda        AB|PS|PS_g                3994.753557031496     All      -0.0010303784739693661    0.0005856235344674128     -0.000918318651661977     0.00048540467529611996     
Lambda        AB|PS|PS_i                6144.5814278980815    All      9.056625736867993e-05     -3.213081503147726e-05    -0.0004344993194442869    -5.9356182138118734e-05    
MWEBV         All|All|All               All                   All      -0.48219104079656105      -3.157816456435647        0.11222592801876097       -0.8665310956027739        
Redshift      All|All|All               All                   All      8.395350934482682         -1.312902555363138        9.313468741707586         -2.7466802189680393        
