#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    6055.270551286854    All      -1.9775898666146143       3.111958709663476        -0.6183069342362886        1.6302412137745013        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    7251.192472338191    All      2.973080543175115         -2.1046117812414167      0.6180624165447198         -1.626390154185637        
Check         All|All|All                            All                  All      0.9954906765605008        1.0073469284220593       -0.00024451769156874636    0.003851059588864336      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    6055.270551286854    All      0.0006286215653143236     -0.001027335705894708    -0.0016563739260356488     -0.0006133161234774969    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    7251.192472338191    All      -0.0013609015486818598    0.0009738236179916129    -0.00027068286610862553    0.0007484174638490525     
MWEBV         All|All|All                            All                  All      -0.43371328728992964      -3.8931087765419647      0.05464000343482298        -1.12440058917963         
Redshift      All|All|All                            All                  All      10.536497393993868        -1.5572646008076063      15.462921841437876         -3.249296971506347        
