#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                    dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    6055.270551286854    All      -2.3052830017444057       3.6638820738106315       -1.359981621095141       1.8836637112263854       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    7251.192472338191    All      3.2684594068818726        -2.6231845545116705      1.2686641670365484       -1.8624876125438228      
Check         All|All|All                            All                  All      0.9631764051374664        1.040697519298961        -0.0913174540585926      0.02117609868256265      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    6055.270551286854    All      -0.0006291413069345981    0.0005425636652586256    -0.003118068727448139    0.0002425177708575989    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    7251.192472338191    All      -0.0013695040901050611    0.0009794057048275243    -0.001472233870813164    0.0006994181611176489    
MWEBV         All|All|All                            All                  All      -0.3894598632664592       -3.991057182199853       -0.20964707089392576     -1.1825143217087497      
Redshift      All|All|All                            All                  All      13.2964411136869          -10.804266017510322      11.382269484220986       -7.342454792136466       
