#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4215.694687604772    All      -2.8346808424006564       0.7463048304341413         -0.2742346123027247       1.1542070133385423         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5048.298556691146    All      3.8300601282276223        0.2557197440566483         0.27164649822907966       -1.1521579198415604        
Check         All|All|All                            All                  All      0.9953792858269659        1.0020245744907896         -0.0025881140736450647    0.002049093496981902       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4215.694687604772    All      -0.0009547988407221728    0.0001530276147173693      -0.0010915130114900816    0.00031214631037960945     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5048.298556691146    All      0.00047855293717997423    -4.1531754746195845e-05    -0.0009330290914864466    -0.00021104549754391314    
MWEBV         All|All|All                            All                  All      -0.035171882659562836     -2.2097977060015594        0.009461095880360622      -0.707924968471136         
Redshift      All|All|All                            All                  All      8.106337661296054         0.6521125066413447         1.2828109471800038        -2.3708404087592996        
