#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4215.694687604772    All      -2.992723139244584        0.8247811199135313        0.28378561746209563       1.2561507780946002       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5048.298556691146    All      3.986891889127378         0.17803224309318466       -0.27707220962089885      -1.2530353546424289      
Check         All|All|All                            All                  All      0.994168749882794         1.002813363006716         0.0067134078411967835     0.0031154234521713065    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4215.694687604772    All      -0.0023702582448169446    0.0005684022117291355     -0.000993077709862728     0.0009129018926041975    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5048.298556691146    All      0.0018795339759734894     3.2968578048335896e-05    -0.0007413554903229273    -0.000634570390911855    
MWEBV         All|All|All                            All                  All      -0.026103413748479465     -2.2145611692240053       0.00024682806833986604    -0.7128416742769261      
Redshift      All|All|All                            All                  All      9.83828110777185          -0.5624476276913981       6.155065977461849         -3.113187197573608       
