#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7376.863144328521    All      0.4842730558659532         -0.09217314235643315      0.1817784539658952         -0.17965555375539374      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4611.61041392146     All      -0.5786373587736172        0.4736918919626021        -0.09108139620236791       0.33871371317801136       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4283.097196154048    All      -0.7173668208403048        0.44150953439672236       -0.007898223263460336      0.3771316933713137        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5367.511131748864    All      0.6398408578758981         0.25113260947939864       -0.1865966872836329        -0.13494201777014894      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6079.115199889627    All      1.1715901806633453         -0.0772524509306649       0.10603407060324062        -0.4020573172382301       
Check         All|All|All                      All                  All      0.9996999147912751         0.996908442551625         0.002236217819674674       -0.0008094822144477654    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7376.863144328521    All      -7.199763590435967e-05     -6.886012895344283e-06    -0.0006555491069036209     -8.045148090156572e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4611.61041392146     All      -0.00020910297705528162    2.4831500039757668e-05    -0.0007143715368102092     4.432103470750509e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4283.097196154048    All      -0.00042133564979372306    0.00013877861981059043    -0.0006184253877172057     0.0001548501600935037     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5367.511131748864    All      0.00012494729231131026     9.105226402929033e-06     -0.0012536885155799208     -9.367993242437473e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6079.115199889627    All      -0.00018298524092680814    3.1882689188872557e-06    -0.00043659707062505793    4.115951503910829e-05     
MWEBV         All|All|All                      All                  All      -0.8431426881020863        -4.000518876734116        0.016806590732976405       -1.0277112982741408       
Redshift      All|All|All                      All                  All      7.273121266591274          -1.176301384772227        10.276848832015949         -2.293646371784142        
