#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_z          5610.690732357272    All      1.931434092535406          0.06324251877014575       -0.3123346092024589        -0.6224695163602597        
Zeropoint     AB|DECam|DECam_r          3941.046798060819    All      -1.4151755886932134        0.4849165653396881        -0.3962918937831799        0.6012378386269075         
Zeropoint     AB|DECam|DECam_i          4787.879613444479    All      0.4801358618505232         0.45093885999332173       0.7098360724701988         0.022166299697464413       
Check         All|All|All               All                  All      0.9963943656927158         0.9990979441031556        0.0012095694845598581      0.0009346219641121964      
Lambda        AB|DECam|DECam_z          5610.690732357272    All      -0.00020052150579579492    -1.200048556533485e-05    -0.00011475683030278907    5.628642816904821e-05      
Lambda        AB|DECam|DECam_r          3941.046798060819    All      -0.001245398531008361      0.00031039454742786565    -0.001258984368838921      0.00045059029964341843     
Lambda        AB|DECam|DECam_i          4787.879613444479    All      -3.353708505509383e-05     -4.042888591160232e-05    -0.0004969722981604602     -2.4422477428173145e-05    
MWEBV         All|All|All               All                  All      -0.10633671757898489       -2.0760663401604873       0.02574294292040105        -0.6404569509450839        
Redshift      All|All|All               All                  All      3.5225639621093974         0.0841424002496538        -0.2058532312139246        -1.1291933076664662        
