#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                            8529.340948525829    All      0.2623699687800417         -0.08382423098485248       0.04758705433095663        -0.1106432486389424        
Zeropoint     AB|PS|PS_i                            7421.697131219209    All      0.3409428161934704         -0.10484292083852154       0.008633513391817987       -0.14482180641606282       
Zeropoint     AB|CNIa02|SDSS_i                      7386.507692583221    All      0.23649567652484701        -0.05536568557644728       0.1072491551990378         -0.09028281037101828       
Zeropoint     AB|CNIa02|SDSS_r                      6091.08707545323     All      0.30983903684771436        -0.02083933000083249       -0.13475704079179945       -0.11372641089153857       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4318.098510540419    All      -0.23094007004825223       0.16504012792637468        -0.12388053685312406       0.12345555844486937        
Zeropoint     AB|PS|PS_r                            6127.473214933192    All      0.9056030091927936         -0.0479552792628013        0.042066244789704436       -0.30872808238417115       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5402.168415984402    All      0.026259222370756896       0.22503056885820882        -0.04290577201972465       0.06283167938786634        
Zeropoint     AB|PS|PS_g                            4825.039974169603    All      -0.8539980340587199        0.9204157049289563         0.09558795146125894        0.5822505825204785         
Check         All|All|All                           All                  All      0.9965716258026515         0.9976589550500847         -0.0004194304918723607     0.00033546165148101714     
Lambda        AB|PS|PS_z                            8529.340948525829    All      0.0003702502109339709      -0.00011993797088161162    5.442332111676612e-05      -0.00015724175466533732    
Lambda        AB|PS|PS_i                            7421.697131219209    All      9.276099262308873e-06      -3.82605836358692e-05      -0.00028235816804350464    -2.8084609745973358e-05    
Lambda        AB|CNIa02|SDSS_i                      7386.507692583221    All      -1.676948623468973e-05     -2.1898917548153433e-06    -5.098258019028126e-05     2.4739351771354577e-06     
Lambda        AB|CNIa02|SDSS_r                      6091.08707545323     All      -1.6743611388140316e-06    -6.742794751182582e-06     -8.438393400007384e-05     -5.416622987094029e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4318.098510540419    All      -8.89891233051373e-05      4.823538843153091e-05      -0.00010075708631102579    4.020221202347156e-05      
Lambda        AB|PS|PS_r                            6127.473214933192    All      -0.0001418062804026152     -1.769878979855653e-05     -0.0004144615903398198     2.1930375481271453e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5402.168415984402    All      -1.8508495526003124e-05    3.795853234206278e-05      -0.0001731220544401067     1.066752651784081e-05      
Lambda        AB|PS|PS_g                            4825.039974169603    All      -0.00034533114131376716    0.00010188997353660317     -0.0010188274588909343     0.00010020904005938512     
MWEBV         All|All|All                           All                  All      -0.741899661451638         -4.096813579212633         0.019434299604576225       -1.0919385728713902        
Redshift      All|All|All                           All                  All      5.806347097448928          0.746484886236054          6.063381070661788          -1.3775827376326413        
