#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                            8529.340948525829    All      0.19257507825856446        -0.07446438145759515       -0.04762060633547449       -0.08910862631404548       
Zeropoint     AB|PS|PS_i                            7421.697131219209    All      0.31986667736472935        -0.09223379280385302       0.08091244352850246        -0.13062393009940637       
Zeropoint     AB|CNIa02|SDSS_i                      7386.507692583221    All      0.2873067101133276         -0.061076856964170645      0.184931389406362          -0.10522735072600216       
Zeropoint     AB|CNIa02|SDSS_r                      6091.08707545323     All      0.4158953073530261         -0.039180809104344405      -0.16365855816504737       -0.15553659248403323       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4318.098510540419    All      -0.41154594499409813       0.2839782749929576         -0.18825136575528756       0.21815432667054765        
Zeropoint     AB|PS|PS_r                            6127.473214933192    All      0.8246560035967896         -0.06768819474523013       -0.02249242533700624       -0.29166959629094125       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5402.168415984402    All      0.05988885415878181        0.31384529953530915        0.04264091346353194        0.0846248373032675         
Zeropoint     AB|PS|PS_g                            4825.039974169603    All      -0.692496020425542         0.734134801580133          0.11228941270498005        0.46971155424959526        
Check         All|All|All                           All                  All      0.9961466654255786         0.9973143410332064         -0.0012487964894392078     0.00032462230898194777     
Lambda        AB|PS|PS_z                            8529.340948525829    All      0.0002808755526191188      -0.00010390940600322331    -4.172328974807021e-05     -0.00012719903886574194    
Lambda        AB|PS|PS_i                            7421.697131219209    All      -3.05242615455543e-05      -2.7644261996951635e-05    -0.0002802448470172252     -1.1567929802201043e-05    
Lambda        AB|CNIa02|SDSS_i                      7386.507692583221    All      -4.9568998800328384e-05    -3.1314559887978843e-06    -0.00013303242486418658    9.189609317634184e-06      
Lambda        AB|CNIa02|SDSS_r                      6091.08707545323     All      -3.264585439322656e-05     -2.366156575995346e-05     -0.00020410297683946447    -6.181700063105386e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4318.098510540419    All      -0.00014898836470230947    6.80833920015435e-05       -0.00019550214190102244    6.19830499229358e-05       
Lambda        AB|PS|PS_r                            6127.473214933192    All      -0.00020664891866221377    -2.90487066846639e-05      -0.0005786806455062958     3.202637248963757e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5402.168415984402    All      -3.5945394963548624e-05    3.3826971058106407e-05     -0.00039982904881739515    4.8846209555934504e-06     
Lambda        AB|PS|PS_g                            4825.039974169603    All      -0.00035768755544230964    9.971626358578741e-05      -0.0011074404580836545     9.95714906419011e-05       
MWEBV         All|All|All                           All                  All      -0.7744143844212936        -4.085221252005855         0.016389763235813426       -1.0777073192251647        
Redshift      All|All|All                           All                  All      6.299515806353261          0.503857794075202          6.695922010254729          -1.589028240023831         
