#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8464.208645338425    All      0.40780115440239434       -0.10086274731904155       0.27773489674556284       -0.1532945344844605        
Zeropoint     AB|PS|PS_i                7365.023089152782    All      0.5687232278351089        -0.11934489915432778       0.38931336756708457       -0.20675315818656226       
Zeropoint     AB|PS|PS_g                4788.194692876999    All      -1.0739081439762228       1.273815423642155          0.27908755359032367       0.7771851994984535         
Zeropoint     AB|PS|PS_r                6080.682208967286    All      1.096625177507524         -0.05482743877180951       -0.9445045624341342       -0.41721489945694135       
Check         All|All|All               All                  All      0.9992414157688043        0.9987803383969762         0.0016312554688369119     -7.739262951056425e-05     
Lambda        AB|PS|PS_z                8464.208645338425    All      0.0004600330409550502     -0.00011410363302413504    0.00030265322739727224    -0.00017350917974780423    
Lambda        AB|PS|PS_i                7365.023089152782    All      -3.902810013576297e-05    -2.34889464695403e-05      -0.0003219493717992915    -9.305508231361657e-06     
Lambda        AB|PS|PS_g                4788.194692876999    All      -0.0004474057799345087    0.0004137553934328811      0.0001628316708233903     0.0002877749551368711      
Lambda        AB|PS|PS_r                6080.682208967286    All      1.5914590693246578e-05    -3.945700496340908e-05     -0.0009442727505608481    -6.017490634641429e-05     
MWEBV         All|All|All               All                  All      -0.6737895568364838       -4.061003544999586         0.16113478501892375       -1.0961363265848567        
Redshift      All|All|All               All                  All      3.337190441651042         -0.321231951627432         0.2585556896880059        -1.180130379085087         
