#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_r          5399.145224976814    All      0.04826762743267776        0.5662243729579686         0.8138238661878905         0.205032773678512         
Zeropoint     AB|DECam|DECam_z          7686.51975696761     All      0.6751219594714667         -0.11579242111778854       -0.23059294271972064       -0.2679171380266635       
Zeropoint     AB|DECam|DECam_g          4062.335167457579    All      -0.6767008537146633        0.5673276593054055         -1.0092498991665089        0.3601828263303769        
Zeropoint     AB|DECam|DECam_i          6559.287082155999    All      0.9525906300573884         -0.02676994526247256       0.3765250424093036         -0.3022073760618197       
Check         All|All|All               All                  All      0.9992793632468696         0.990989665883113          -0.0494939332890354        -0.004908914079594262     
Lambda        AB|DECam|DECam_r          5399.145224976814    All      2.1475272045478586e-05     0.00018632714128991683     -0.0002520909290882704     4.2448016924868134e-05    
Lambda        AB|DECam|DECam_z          7686.51975696761     All      -0.0001939743449108362     2.7867451098846288e-05     -8.862930667198541e-07     7.222162014968791e-05     
Lambda        AB|DECam|DECam_g          4062.335167457579    All      -0.0006049596345981491     0.0002720242526629219      -0.0020481022113416373     0.00019426510889487513    
Lambda        AB|DECam|DECam_i          6559.287082155999    All      -0.00014810017908457038    -1.4765992735251065e-05    -0.00025845344242011743    3.1897740956926135e-05    
MWEBV         All|All|All               All                  All      -0.4720288568960247        -3.2911475560741366        -0.09487795825324774       -0.9225136740908166       
Redshift      All|All|All               All                  All      7.931200836809032          -0.41233224781986877       13.291146627320494         -2.124640389799998        
