#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_r          5399.145224976814    All      0.5240431370770925         0.47760660250020237       1.9119406737614937         0.07019522401577674       
Zeropoint     AB|DECam|DECam_z          7686.51975696761     All      0.39959526738820683        -0.09900230521573405      -1.2103659952266352        -0.21642270812703257      
Zeropoint     AB|DECam|DECam_g          4062.335167457579    All      -0.8307758427651056        0.6190028734437192        -1.0583649604908494        0.425010656879993         
Zeropoint     AB|DECam|DECam_i          6559.287082155999    All      0.9050061148570943         -0.005951110395940873     0.28120316170110593        -0.28417993228012495      
Check         All|All|All               All                  All      0.9978686765572877         0.9916560603322466        -0.07558712025488501       -0.005396759511387739     
Lambda        AB|DECam|DECam_r          5399.145224976814    All      0.00018684133367311866     0.00016129067736970606    0.00046724815573262604     1.2528449847543053e-05    
Lambda        AB|DECam|DECam_z          7686.51975696761     All      -0.00014440189841534505    1.7686502843704426e-05    0.00013255617921712116     5.871289831003097e-05     
Lambda        AB|DECam|DECam_g          4062.335167457579    All      -0.0007892185568504717     0.00026268295877033974    -0.0027193407494214535     0.0002212872420032809     
Lambda        AB|DECam|DECam_i          6559.287082155999    All      -0.00039052374085317654    9.084701381972028e-07     -0.00016824213221399716    0.00011999447520457854    
MWEBV         All|All|All               All                  All      -0.5068875202357797        -3.2820316440185238       -0.10446552147368145       -0.9086175570764295       
Redshift      All|All|All               All                  All      8.471007323531875          -0.49727619171342496      9.874467247317359          -2.4806128672191603       
