#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     AB|SDSS|SDSS_u            3257.632150788081    All      -0.37669735348622424       0.18951159304627652       0.11788873064342828        0.18969371421193826      
Zeropoint     AB|SDSS|SDSS_g            4283.615736887676    All      -0.5018300801179985        0.34455816703591324       -0.3215181018069796        0.26134862123985525      
Zeropoint     AB|SDSS|SDSS_r            5597.405209664263    All      1.8720110495470375         0.46809550481921036       0.20979817343732038        -0.4479391514550209      
Check         All|All|All               All                  All      0.9934836159428145         1.0021652649014001        0.006168802273769064       0.0031031839967726182    
Lambda        AB|SDSS|SDSS_u            3257.632150788081    All      -0.00023633647221837039    0.00012040136318908029    0.00014594501667262593     0.0001227141051112705    
Lambda        AB|SDSS|SDSS_g            4283.615736887676    All      -0.00012578787970434722    9.305443116088257e-05     -3.7458442747805906e-05    6.961254208755061e-05    
Lambda        AB|SDSS|SDSS_r            5597.405209664263    All      2.850315139652931e-05      4.113527544850621e-05     0.00011151319312239622     9.091020035747617e-06    
MWEBV         All|All|All               All                  All      -1.1960888173277335        -3.3998170440971975       0.13057375659723783        -0.7119998769106328      
Redshift      All|All|All               All                  All      4.12599640726388           0.060127861781644754      -8.092601737048087         -1.6855227959146006      
