#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5297.861206560795     All      -0.0896875561618092       0.11936282159275002        -0.3216904696977885        0.05373901739607889        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5343.221772195465     All      -0.24685205581802572      0.6964442450556607         0.3211175648998421         0.32159264080292016        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7826.0503652326815    All      0.6990449682538168        -0.25874030206938237       0.10427254070640712        -0.30732896815844346       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6313.984741377101     All      0.3108895075755696        -0.10330375286589089       -0.2628106075296399        -0.14664440184788963       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6316.308993262711     All      0.9331424547134701        -0.22466409949983834       -0.4162047407841152        -0.3957089914334633        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8158.8253868671045    All      0.34603862272582975       -0.14481858925234903       -0.02956020671769366       -0.16120747892459375       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4292.1609996069665    All      -0.03374727212187337      0.009525112588626428       -0.07793408009151848       0.010617399263179728       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4418.049033402972     All      -1.0008808616129798       0.9275808545630593         0.5574920560965202         0.6530417354596946         
Check         All|All|All                       All                   All      0.9179478075539982        1.0213862901126358         -0.12531794311798627       0.02810095255748324        
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5297.861206560795     All      1.008275956154058e-05     0.00010197681390268791     -7.492558648072544e-05     2.658933191963777e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5343.221772195465     All      7.119107138008155e-05     0.00029740111237890797     0.00019958794205443474     8.259074562224235e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7826.0503652326815    All      -3.51264283302363e-05     7.512270154233349e-05      0.00032431212809924155     5.038432945347424e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6313.984741377101     All      -6.399731121647194e-05    -3.6828093132056002e-06    -0.00022101592225356282    9.783492037305611e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6316.308993262711     All      -3.282733447157547e-05    -3.315970322842006e-06     3.153657777007111e-05      1.102015482190007e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8158.8253868671045    All      8.366810416506038e-06     3.6134461064173888e-06     2.8348114480458218e-05     -2.8328098575435564e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4292.1609996069665    All      -4.474730468610505e-05    1.4658010652758612e-05     -8.553470709686093e-05     1.553324445165919e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4418.049033402972     All      -0.0005657837016981375    0.00045958714808703186     0.00015370252651815297     0.00034085605730233107     
MWEBV         All|All|All                       All                   All      -0.7538581663855988       -4.131942173962333         -0.025449060498938803      -1.1014887716172928        
Redshift      All|All|All                       All                   All      3.0166602702698824        -2.508364420252196         -6.336187558049389         -2.082437259275194         
