#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5297.861206560795     All      0.0717497331456255         0.14371213824571072        -0.14753869155362623       0.01685654865056627        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5343.221772195465     All      0.26291734028793284        0.40077857666345196        0.17659992622747953        0.052786783800874204       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7826.0503652326815    All      0.2744016065854545         -0.0692598572330283        0.0430172140544809         -0.11002218419968042       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6313.984741377101     All      0.464157077528218          -0.07535750383551587       0.010029094869771018       -0.1752900962106108        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6316.308993262711     All      0.866826783913876          -0.11554319605160401       0.04715683358900868        -0.31788582858755243       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8158.8253868671045    All      0.14352239216570967        -0.043619891460622284      -0.008228907752384171      -0.061325616934335046      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4292.1609996069665    All      -0.20778988038388452       0.0997513418692364         -0.17707452892887007       0.09227427094132434        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4418.049033402972     All      -0.8790833968394106        0.6567244379322545         0.055927254287482235       0.5027589148563681         
Check         All|All|All                       All                   All      0.9967016564035216         0.9971860461298832         -0.00011180520665812071    0.00015279231695419782     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5297.861206560795     All      3.57637706569064e-05       7.173495005823563e-05      -0.0003385454900471231     -3.3907337899435317e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5343.221772195465     All      5.2878729953842316e-05     -2.166834767146222e-05     -0.0008472489573715635     -6.209126540234813e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7826.0503652326815    All      -1.9281133017622803e-05    1.6050574181450687e-05     6.742954160589398e-05      1.451777016256709e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6313.984741377101     All      -7.582160253972785e-05     2.0112358397402102e-06     -7.030828382311e-05        2.2215180291759603e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6316.308993262711     All      -0.0002270842392260947     -2.6978357608498015e-05    -0.0004216526994595663     4.636464553473489e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8158.8253868671045    All      3.919216660425336e-06      -9.516162723480798e-07     1.1431775435437074e-06     -1.5355757685042111e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4292.1609996069665    All      -0.0002010911168477788     9.693095230695294e-05      -0.00017141035057902072    8.942633587146772e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4418.049033402972     All      -0.00041204428587751434    0.00017353512929370047     -0.0004721847894849418     0.0001696710420233804      
MWEBV         All|All|All                       All                   All      -0.831514022081739         -4.087623182357181         -0.002566971289975367      -1.0607364284502176        
Redshift      All|All|All                       All                   All      4.251294745073388          -0.5089674848758108        0.16676479024188726        -1.5431320696045798        
