#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5313.759068541736     All      0.15780392589360914        0.8936369499975783        -0.543193392455113         0.21544479782984322       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6332.9317945471375    All      1.328346180207518          -0.3030204057836272       0.18478903780844436        -0.5231434813717878       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8183.308451800248     All      0.44456622776683           -0.15984930114645302      0.21024922574810478        -0.187495565141952        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4305.040948799902     All      -0.9379352039266138        0.5772558296550656        0.11418742774461643        0.49864322839827097       
Check         All|All|All                       All                   All      0.9927811299413436         1.0080230727225636        -0.03396770115394743       0.003448979714374356      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5313.759068541736     All      -0.00023190326212057773    0.0005405000094170791     -0.0021452255568563047     0.00015586559291476973    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6332.9317945471375    All      -0.00031731272400375776    0.00013539895723918314    -0.0009608918893832349     0.00010458289654639666    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8183.308451800248     All      -6.523393863475991e-06     5.242502396934449e-06     -6.0113021793812156e-05    1.1499714249700894e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4305.040948799902     All      -0.0005948268159482481     0.00024747376280824323    -0.0004842813317084209     0.00025275375775649436    
MWEBV         All|All|All                       All                   All      -0.8494519760612178        -4.103541792153331        0.03117067041090993        -1.0585731056175305       
Redshift      All|All|All                       All                   All      6.304638327286734          -3.328224606709762        5.603041282513743          -2.8877023707791905       
