#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5313.759068541736     All      0.19147827718755017        0.8555147427326659        -0.40541274993461834      0.19820681394269482        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6332.9317945471375    All      1.3634271290912292         -0.3058123892857978       0.1823286103391393        -0.535589739009956         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8183.308451800248     All      0.4033725140546768         -0.14657342967039355      0.18214238322704082       -0.17100730854168267       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4305.040948799902     All      -0.9626263033690423        0.595358076661956         0.031454867721114894      0.5088904550191502         
Check         All|All|All                       All                   All      0.9956516169644138         0.9984870004384305        -0.009486888647323326     0.0005002214102063363      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5313.759068541736     All      -0.00016679554482059545    0.0005173121245319196     -0.0019368303272223216    0.0001364045324179339      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6332.9317945471375    All      -0.00033714319830089505    0.0001324957364892361     -0.001009571626298706     0.00010792430683622424     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8183.308451800248     All      -7.886264594257153e-07     2.639124731756442e-06     -5.125405747056395e-05    -1.1707018509072005e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4305.040948799902     All      -0.0006058541164022424     0.00023966555298634288    -0.0004584784597300916    0.00025495378514839176     
MWEBV         All|All|All                       All                   All      -0.8443226083125266        -4.103726376498029        0.031913706093631096      -1.060270876368298         
Redshift      All|All|All                       All                   All      6.03545455042403           -3.363787448108546        4.952186294927675         -2.8406490150252393        
