#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                    
Zeropoint     AB|SDSS|SDSS_r            4898.060896570457    All      0.8171691299621177         0.38240258277397743        -1.6416927602754996        -0.2148789756826983      
Zeropoint     AB|SDSS|SDSS_g            3748.417338190502    All      -1.0741053592245564        0.46514058898665667        0.4443498576857293         0.521212338343374        
Zeropoint     AB|SDSS|SDSS_z            7061.873482929402    All      0.12733530182350306        0.010636960222853986       0.32773341713158166        -0.02338725193929068     
Zeropoint     AB|SDSS|SDSS_i            5939.754930948295    All      1.1324956272004172         0.14036256115268486        0.9213261247390886         -0.2820558263708395      
Check         All|All|All               All                  All      1.0028946997614816         0.9985426931361729         0.05171663928089987        0.0008902843505455005    
Lambda        AB|SDSS|SDSS_r            4898.060896570457    All      -0.00022238284956177447    -8.398532464204644e-05     -0.00022020913830564191    3.525370455109286e-05    
Lambda        AB|SDSS|SDSS_g            3748.417338190502    All      -0.001447424967820897      0.0005739688291612167      -0.0021745698664240253     0.0005613933958573363    
Lambda        AB|SDSS|SDSS_z            7061.873482929402    All      -4.278050942445745e-05     -4.063552953364406e-06     -0.00010216515002759928    8.052225054499005e-06    
Lambda        AB|SDSS|SDSS_i            5939.754930948295    All      -0.0001370301132095728     -2.5449016823082207e-05    -3.815116843764815e-05     3.464312257672078e-05    
MWEBV         All|All|All               All                  All      -0.5705393121199998        -2.9882081451496845        0.2504916125272703         -0.7763359876591038      
Redshift      All|All|All               All                  All      3.4266454521903054         -0.2494825537908696        2.0970973977878877         -1.103852007323855       
