#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_z          7431.978677866026    All      0.46009218208516756       0.006619957321873926      0.6141200179225148         -0.12030546654980753      
Zeropoint     AB|DECam|DECam_i          6342.074603060292    All      0.8359091699228005        0.0009326494714301248     -0.3021674550534037        -0.2854636683367058       
Zeropoint     AB|DECam|DECam_g          3927.809893355519    All      -0.7507410462473384       0.5745180550936979        -0.026908544743031726      0.43047968427076255       
Zeropoint     AB|DECam|DECam_r          5220.35114192694     All      0.45245901054969295       0.4163529288343071        -0.2820498184852527        -0.024347526660542518     
Check         All|All|All               All                  All      0.9977193163103227        0.998423590721309         0.0029941996408267         0.0003630227237066963     
Lambda        AB|DECam|DECam_z          7431.978677866026    All      3.7925508401650582e-06    3.1721452187468777e-06    0.00011177910686608827     4.786101634930265e-06     
Lambda        AB|DECam|DECam_i          6342.074603060292    All      -0.0001408996425725087    -9.110718449378131e-06    -0.00027908402470605814    3.047375007765492e-05     
Lambda        AB|DECam|DECam_g          3927.809893355519    All      -0.0008253920800720295    0.0005615984750902225     -0.0004267411994309882     0.00043274495467107715    
Lambda        AB|DECam|DECam_r          5220.35114192694     All      -0.0001003518746695106    1.410904837189349e-05     -0.001490968985202406      -2.925140974961745e-05    
MWEBV         All|All|All               All                  All      -0.4703427915926466       -3.1151062434664922       0.0914416866946155         -0.8574058439077145       
Redshift      All|All|All               All                  All      5.216905335151318         0.5929889997631221        -0.9840922684453579        -1.5500771909332933       
