#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5120.332636926377    All      0.9380458381720287         0.37704747241011916        0.2537112012666931         -0.1714136583675481        
Zeropoint     AB|SDSS|SDSS_z            7382.338038672898    All      0.10778486243841141        0.007119110105335835       0.1251912796293997         -0.027203435512654014      
Zeropoint     AB|SDSS|SDSS_g            3918.518785055582    All      -1.2219058504836877        0.5240450509422345         -0.895579022256543         0.5287480701553016         
Zeropoint     AB|SDSS|SDSS_i            6209.298265273505    All      1.1757143561963435         0.09027486073662772        0.5206465739947097         -0.3303292882157787        
Check         All|All|All               All                  All      0.9996392063230961         0.9984864941943172         0.003970032634259546       -0.00019831194067926328    
Lambda        AB|SDSS|SDSS_r            5120.332636926377    All      1.0640592111860918e-05     -1.8547897217385477e-05    -0.0017638373210056906     -8.821960987199545e-05     
Lambda        AB|SDSS|SDSS_z            7382.338038672898    All      -1.8442069906465217e-05    -3.138142444300889e-06     -5.1151392469325314e-05    2.7023409426276095e-06     
Lambda        AB|SDSS|SDSS_g            3918.518785055582    All      -0.0009698763265660942     0.00038625489914915654     -0.0008908261933253169     0.00040198307401618323     
Lambda        AB|SDSS|SDSS_i            6209.298265273505    All      -0.0002980970027781886     -4.477339547704528e-05     -0.0005367216240950655     5.8564411987009554e-05     
MWEBV         All|All|All               All                  All      -0.5763053177944659        -3.199590674718422         0.0632384633076688         -0.8516683021012397        
Redshift      All|All|All               All                  All      4.631195966606862          0.38538670521077734        -0.8084845267575247        -1.4190787106064708        
