#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7294.241416678395     All      0.10446973958615584        0.007101998168757007      0.11713127024799434        -0.026488846056489775      
Zeropoint     AB|SDSS|SDSS_g            3871.7574113042037    All      -1.0684851712515635        0.5602534856105734        -0.016911227154592593      0.529779094052755          
Zeropoint     AB|SDSS|SDSS_i            6135.200032537301     All      1.1567942357328755         0.07840498285691666       0.17483885154911288        -0.3434646026754823        
Zeropoint     AB|SDSS|SDSS_r            5059.229500435147     All      0.805536210145309          0.3529778977359399        -0.27335485028520645       -0.15961170257278254       
Check         All|All|All               All                   All      0.998315014212777          0.998738364372187         0.0017040443573081987      0.0002139427480003786      
Lambda        AB|SDSS|SDSS_z            7294.241416678395     All      -2.5727925645588803e-05    -2.269641439804611e-06    -3.778861344964602e-05     5.954802659017162e-06      
Lambda        AB|SDSS|SDSS_g            3871.7574113042037    All      -0.0012075227289851274     0.0005461923063775045     -0.0009650113908839081     0.0005281786562904028      
Lambda        AB|SDSS|SDSS_i            6135.200032537301     All      -0.0001691465130560814     -3.093885786675758e-05    -0.00042113584006212354    2.622542185694232e-05      
Lambda        AB|SDSS|SDSS_r            5059.229500435147     All      -0.00011675173136108246    -4.691130903814788e-05    -0.0016557358661269067     -5.1138563953241586e-05    
MWEBV         All|All|All               All                   All      -0.5639538850869319        -3.146370184493108        0.0686292456420212         -0.8381153396590291        
Redshift      All|All|All               All                   All      6.280954635104793          1.0174044049282571        6.942534178049491          -1.4046980611673472        
