#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7294.241416678395     All      0.09598454558428823        0.00818006499745394        0.13358943604959705        -0.022639325031934693      
Zeropoint     AB|SDSS|SDSS_g            3871.7574113042037    All      -1.00866910043273          0.5344223611235321         -0.021607898324194075      0.5016713939693315         
Zeropoint     AB|SDSS|SDSS_i            6135.200032537301     All      1.089343604009239          0.08429848135698137        0.26442350803097536        -0.31557625474006973       
Zeropoint     AB|SDSS|SDSS_r            5059.229500435147     All      0.8224819021197755         0.3715786367017415         -0.37421725753998825       -0.163573625309776         
Check         All|All|All               All                   All      0.9991409512805726         0.998479544179709          0.0021877882163900964      -0.0001178111124489345     
Lambda        AB|SDSS|SDSS_z            7294.241416678395     All      -2.271968156407556e-05     -1.683924981864413e-06     -2.4065093065984316e-05    5.7781233981014e-06        
Lambda        AB|SDSS|SDSS_g            3871.7574113042037    All      -0.0011195452843765948     0.0004576044063434847      -0.0013594733869738702     0.0004530624875259477      
Lambda        AB|SDSS|SDSS_i            6135.200032537301     All      -0.00030226804220763166    -5.0238686866835235e-05    -0.0005122349993716475     5.923555714230643e-05      
Lambda        AB|SDSS|SDSS_r            5059.229500435147     All      -0.00019109339230743858    -3.634391912568134e-05     -0.001602162062816361      -2.1090139877551853e-05    
MWEBV         All|All|All               All                   All      -0.5631590929867647        -3.1430770742204572        0.10198085184329742        -0.8358132262316486        
Redshift      All|All|All               All                   All      6.445381294950346          1.0895915893915031         7.60364908254314           -1.405240971091346         
