#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7354.70752944343     All      0.7799866471237562         -0.176960365763712        0.7670994615354587        -0.2774769989111109       
Zeropoint     AB|PS|PS_z                8452.353550165404    All      0.29606386910399185        -0.06812309472019606      -0.050627687800108845     -0.12088695669472405      
Zeropoint     AB|PS|PS_g                4781.488276935532    All      -1.0181684302569844        1.2447002434855747        0.5333064554591038        0.7608897909252301        
Zeropoint     AB|PS|PS_r                6072.165515992816    All      0.9443845559323248         0.00047382702303977453    -1.2061847770737266       -0.36128926494084224      
Check         All|All|All               All                  All      1.0022666419030886         1.0000906100247065        0.04359345212072707       0.0012365703785529591     
Lambda        AB|PS|PS_i                7354.70752944343     All      -0.00018487142877156862    6.768817751355727e-05     -0.0008771120440862197    4.31254906336527e-05      
Lambda        AB|PS|PS_z                8452.353550165404    All      0.000331248268750163       -7.467282589067272e-05    -9.088886511429859e-05    -0.0001362778075444608    
Lambda        AB|PS|PS_g                4781.488276935532    All      -0.000388613754713357      7.414019812289937e-05     -0.0012617270095742954    9.442910505686577e-05     
Lambda        AB|PS|PS_r                6072.165515992816    All      -5.0269842730770736e-05    6.285104880637754e-06     -0.0002403123311580136    7.697771414580008e-06     
MWEBV         All|All|All               All                  All      -0.6814494090236716        -4.051128371883284        0.09286154060390572       -1.0934713132888851       
Redshift      All|All|All               All                  All      4.657504499143392          0.47224231800573335       8.75020334304274          -0.9727961964628024       
