#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5977.487672072235    All      0.6916588032059254         -0.15807743155740184       0.814026396887518         -0.24046078774910012       
Zeropoint     AB|PS|PS_g                3886.12152354384     All      -0.8492191704717387        0.4497346612374997         1.6328218775411267        0.4959773384144537         
Zeropoint     AB|PS|PS_z                6869.591883000833    All      0.762060062926684          0.1034373779761566         1.2036293177177735        -0.16082262815087706       
Zeropoint     AB|PS|PS_r                4935.110521978287    All      0.4066556846035648         0.6211743302310779         -3.6870015196188293       -0.09465816370041256       
Check         All|All|All               All                  All      1.011155380264436          1.0162689378873324         -0.03652392747241073      3.5758814063938105e-05     
Lambda        AB|PS|PS_i                5977.487672072235    All      -2.6380976524420783e-05    -2.2768720640346767e-05    1.4877327462793865e-05    1.8405373767025338e-06     
Lambda        AB|PS|PS_g                3886.12152354384     All      -0.0007662068009956405     0.00030620502690909907     0.0005717425722285284     0.00037483405872965736     
Lambda        AB|PS|PS_z                6869.591883000833    All      -0.0002768106392256218     -3.9389915672955305e-05    -0.0004282152460968806    5.822646085908595e-05      
Lambda        AB|PS|PS_r                4935.110521978287    All      -8.852036595595511e-05     7.91722639418264e-05       -0.0016897626549441313    -2.0783340009630135e-05    
MWEBV         All|All|All               All                  All      -0.49213916424472837       -3.010880592902332         0.0947238943669585        -0.8162098550909871        
Redshift      All|All|All               All                  All      2.324229085963818          -1.1792489228346525        6.442793983530433         -0.853685743666059         
