#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|PS|PS_i 5977.487672072235 All 19835.59549697669 10.677007380544056 144705.59451508985 -0.08209805499462138
Zeropoint AB|PS|PS_g 3886.12152354384 All 1.6080198582255056 1.3160194988357858 11.369210784391825 0.4122415368312574
Zeropoint AB|PS|PS_z 6869.591883000833 All 0.6065566036246173 0.1576967877404325 1.3695822774906459 -0.08509024230226912
Zeropoint AB|PS|PS_r 4935.110521978287 All 0.4112145268404765 0.5465549725037899 -4.319804518359791 -0.1486881997889179
Check All|All|All All All 19838.221287965378 12.697278639624065 144714.01350363335 0.09636503974544902
