#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4625.553893344125    All      -2.3411365158875155        1.16874254332906          -0.3794266184452444       1.126351013840253          
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5539.105360813896    All      3.338121142853236          -0.16671367460681097      0.37709728284690547       -1.1248118858990297        
Check         All|All|All                            All                  All      0.9969846269657208         1.002028868722249         -0.002329335598338922     0.0015391279412233505      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4625.553893344125    All      0.0002830574551839775      -0.0002711180340289478    -0.0012708425858700286    -0.00023722505650720495    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5539.105360813896    All      -0.00032273300560251006    1.8269365334331276e-05    4.752470443319575e-05     0.00011319650014468702     
MWEBV         All|All|All                            All                  All      -0.2190412364522003        -2.5526862422758256       -0.012218136705266502     -0.7606901923622955        
Redshift      All|All|All                            All                  All      -1.5526410288902535        1.8832725776267267        -2.7573498635293014       0.9961422394832137         
