#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5123.270485926144     All      0.6103921354497266         0.4918370659774851        0.09091332298902799        -0.034560242417832135      
Zeropoint     AB|SDSS|SDSS_i            6212.860920669434     All      1.261696422132716          -0.048299667143325564     -0.1653982853945246        -0.4340897896987269        
Zeropoint     AB|SDSS|SDSS_z            7386.573738960502     All      0.10250603033602299        -0.004496984912094604     0.060755465319961566       -0.03214316498347976       
Zeropoint     AB|SDSS|SDSS_g            3920.7670797093756    All      -0.9748147637740754        0.5590368794891276        0.02000049387891334        0.5005184726138808         
Check         All|All|All               All                   All      0.9997798241443904         0.9980772934111926        0.006270996793378281       -0.0002747244861579512     
Lambda        AB|SDSS|SDSS_r            5123.270485926144     All      0.00011672501462206745     5.608417391347811e-05     -0.0006740767193495673     -4.9833664905368105e-05    
Lambda        AB|SDSS|SDSS_i            6212.860920669434     All      -0.0003928425170348015     -7.61218355017932e-06     -0.00021623829713874847    0.0001158324712627406      
Lambda        AB|SDSS|SDSS_z            7386.573738960502     All      -2.7788899481693436e-05    -5.639689875431084e-07    -3.377169351144843e-05     7.360979961915926e-06      
Lambda        AB|SDSS|SDSS_g            3920.7670797093756    All      -0.0011640454717145412     0.0003393563043962982     -0.0020218355056364546     0.00039948218626665964     
MWEBV         All|All|All               All                   All      -0.5577273887602558        -3.2004888321029767       0.13860818952067255        -0.8546488994717879        
Redshift      All|All|All               All                   All      5.005322018222288          0.2498955795681823        -4.872242773686453         -1.7664246575404399        
