#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5123.270485926144     All      0.784405075189714          0.43373519349003686       0.2896832009379959        -0.10129748637497453      
Zeropoint     AB|SDSS|SDSS_i            6212.860920669434     All      1.1943017752621257         0.01082114322024097       -0.08243393858275536      -0.389177225285903        
Zeropoint     AB|SDSS|SDSS_z            7386.573738960502     All      0.07649975923285354        0.002250520773472431      0.06222563961568984       -0.021408575189586842     
Zeropoint     AB|SDSS|SDSS_g            3920.7670797093756    All      -1.0576437388214375        0.5521040114411235        -0.2680692854654444       0.5123851003758291        
Check         All|All|All               All                   All      0.9975628708632557         0.9989108689248738        0.0014056165054859848     0.0005018135253647138     
Lambda        AB|SDSS|SDSS_r            5123.270485926144     All      0.00020511089136162345     6.587585432608301e-05     -0.0005493897827110357    -6.987017500552194e-05    
Lambda        AB|SDSS|SDSS_i            6212.860920669434     All      -0.00023064552466403045    -7.78913812446149e-06     -8.665871573395413e-05    6.872447637915872e-05     
Lambda        AB|SDSS|SDSS_z            7386.573738960502     All      -1.6947447819943436e-05    2.5164718074843635e-07    -6.897756804221387e-06    5.294495869222653e-06     
Lambda        AB|SDSS|SDSS_g            3920.7670797093756    All      -0.0011663675970596317     0.0003667769488354512     -0.001750399121776351     0.0004212833440429065     
MWEBV         All|All|All               All                   All      -0.5659727077043244        -3.1997157222647843       0.1134045612236561        -0.8528360226947292       
Redshift      All|All|All               All                   All      5.040299838427684          0.47955231871004145       -2.607972842106222        -1.6019673612658616       
