#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i                             7020.818581218784     All      0.6661306346821168         0.027988780074750252       1.921720345306338          -0.12210624342032517       
Zeropoint     AB|SDSS|SDSS_z                             8347.168047091696     All      0.21326752621928338        -0.006726844761750783      0.44919952296502696        -0.051613692617206997      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5875.0885091453       All      0.05063610540833868        0.03698815187593851        -2.0227058530238984        -0.0947096597383304        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4122.694925951057     All      -0.04434575747924786       0.032646297400162894       -0.10891881535433079       0.020218298754354214       
Zeropoint     AB|SDSS|SDSS_r                             5789.5312776974815    All      0.40834529895305277        0.07059018908259773        -1.2045831435524512        -0.16377296434434557       
Zeropoint     AB|SDSS|SDSS_g                             4430.647123336614     All      -0.3033925301822511        0.5381809715347075         1.0764908532330253         0.32216701909116713        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5098.512366692379     All      -0.12255563883289326       0.09715231506000066        -1.5865452481492848        0.0007658810737595778      
Zeropoint     AB|SDSS|SDSS_u                             3369.447542525113     All      -0.19492182026959137       0.17004774002407075        0.5730539056778006         0.144455356798541          
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7157.754565728604     All      0.32155203214166095        0.032373580197475604       0.9275580465029409         -0.05280227999129722       
Check         All|All|All                                All                   All      0.994715850640469          0.9992411804879531         0.02526961360516644        0.002601715606316557       
Lambda        AB|SDSS|SDSS_i                             7020.818581218784     All      -0.0003321024630914324     -2.872899671453799e-05     -0.0011303137718017054     4.8378006397413927e-05     
Lambda        AB|SDSS|SDSS_z                             8347.168047091696     All      -3.9939726990274876e-05    4.46338070202426e-06       -8.383862211290879e-05     1.0722220346198905e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5875.0885091453       All      4.193058700926233e-06      3.4446341998400973e-07     8.231078690794961e-05      2.4195382819045195e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4122.694925951057     All      -4.765418564210346e-05     1.5145418527522602e-05     -0.0002520346515541105     9.208748178082384e-06      
Lambda        AB|SDSS|SDSS_r                             5789.5312776974815    All      -1.6174275852696528e-05    -6.120203013763545e-06     -0.00010709854010176917    -1.5043736661268384e-06    
Lambda        AB|SDSS|SDSS_g                             4430.647123336614     All      -4.513772172354865e-05     6.600875235230034e-05      -1.8247528097708833e-05    3.5389759845753384e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5098.512366692379     All      -0.00011654914570966319    8.568978687743577e-06      -0.0012056749208054678     -1.3048644870665246e-05    
Lambda        AB|SDSS|SDSS_u                             3369.447542525113     All      -0.00015433985824405306    0.00012427444145583086     0.000289164462209055       0.00010365792541450309     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7157.754565728604     All      -0.0001454904891715736     -1.5012922869151749e-05    -0.0005074663188063207     1.98549448293016e-05       
MWEBV         All|All|All                                All                   All      -0.8640863627234188        -3.647021444122256         0.70699297951069           -0.8749436622820433        
Redshift      All|All|All                                All                   All      6.380452533452235          0.22230203771007595        9.636158656097516          -1.5758947100510747        
