#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3845.542321852118    All      -1.0444751435808042        0.5162684637532777        -0.2794293003546978        0.49591589354576165       
Zeropoint     AB|SDSS|SDSS_r            5024.974215347991    All      0.7184804435765385         0.4169218696068455        0.5750074464474287         -0.07256760710306034      
Zeropoint     AB|SDSS|SDSS_i            6093.659512155053    All      1.1835122791135975         0.07848552475220316       -0.5826164836033588        -0.38594306599838907      
Zeropoint     AB|SDSS|SDSS_z            7244.853200705711    All      0.13863161410797273        -0.012719643958725158     0.2826964392866465         -0.036684640353233655     
Check         All|All|All               All                  All      0.9961491932173047         0.9989562141536013        -0.0043418982239814        0.0007205800910785598     
Lambda        AB|SDSS|SDSS_g            3845.542321852118    All      -0.0013517564609863636     0.0005724774072006929     -0.0009821111652193598     0.0005829591656521187     
Lambda        AB|SDSS|SDSS_r            5024.974215347991    All      -0.00011259175352426086    -9.03300678065654e-05     -0.0012033151026371758     -4.644706297837056e-05    
Lambda        AB|SDSS|SDSS_i            6093.659512155053    All      -0.0002795178027212309     -3.977284855273321e-05    -0.0008010941957227003     4.234366428484942e-05     
Lambda        AB|SDSS|SDSS_z            7244.853200705711    All      -4.454266098810767e-05     2.936865016638558e-06     -0.00014853883772485206    8.837037536300162e-06     
MWEBV         All|All|All               All                  All      -0.5535853292621922        -3.1178757608048002       0.06831593488000927        -0.8322251297928491       
Redshift      All|All|All               All                  All      7.115608779157485          0.7030497113538203        10.373565485380205         -1.6258568717611          
