#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7495.632857008497    All      0.19424349408416716        -0.14198880473799136       -0.02592294112835407      -0.11067874324323877       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7804.490058645676    All      0.48115381078611685        -0.16191955099298383       0.4568402452194474        -0.18908346846385551       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4316.255866056125    All      -0.6503959626185872        0.474796205456407          0.3802975477768121        0.3834830397786377         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6152.419178751194    All      0.1582236032916483         -0.06644162841427104       -0.8049457303884222       -0.10910188819841472       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5320.095854961183    All      0.03803812325359812        0.5984673595069268         0.830730607643639         0.21962193143339           
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4317.304716529541    All      -0.19214363387574465       0.1718717963476557         -0.37653847747236757      0.1017686185047837         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6311.822915135326    All      1.0832856805018232         -0.019533316056286054      0.22173330511303327       -0.3493294898233302        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5339.185140634031    All      -0.11433192543805659       0.1433393750601475         -0.6642066509832492       0.05429152746368044        
Check         All|All|All                                All                  All      0.9980731899849649         0.9985914361696047         0.01798790578053877       0.0009715274516526387      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7495.632857008497    All      -7.294486563306635e-07     -4.713223248409127e-06     -1.783396398328564e-05    -2.093494351071204e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7804.490058645676    All      -9.391202944003601e-05     3.556732914396683e-05      -7.902850470577834e-05    3.864900763495479e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4316.255866056125    All      -0.0006914912386846286     0.0005070916934152758      0.0003203768521692031     0.00040471484066680307     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6152.419178751194    All      7.932502511351166e-06      -2.0087933933350034e-06    6.520030710889104e-05     -3.2861688298635076e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5320.095854961183    All      -0.0002209037742457008     0.0006344084123105276      -0.0008858419493923427    0.00023907226042002523     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4317.304716529541    All      -0.000212413107074965      0.0001897593784898686      -0.0003992345847943805    0.00011318480372899137     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6311.822915135326    All      -0.00011334907086438939    -4.8426268780620055e-05    -0.0002447942305186254    1.0223450326618128e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5339.185140634031    All      -0.00011716595363716782    0.00014737624734816583     -0.0006996090659454911    5.494975861589621e-05      
MWEBV         All|All|All                                All                  All      -0.7659311751599271        -4.073286411739652         0.10107729895012674       -1.0728037936884551        
Redshift      All|All|All                                All                  All      7.110468033250138          -4.279080017878822         0.4109977940398302        -3.6916095613503273        
