#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           5361.117416437893     All      1.153174492761376         0.06654182863474745      -0.029459998719807978     -0.3552666722968216        
Zeropoint     AB|MEGACAMPSF|i           4650.826073641987     All      1.9605213297869943        0.5941696888084991       0.038258547417244215      -0.4433583778444081        
Zeropoint     AB|MEGACAMPSF|r           3806.4437891307157    All      -2.1093011794661267       0.3383755954539325       -0.009002674932021004     0.796887103731066          
Check         All|All|All               All                   All      1.0043946430822437        0.999087112897179        -0.0002041262345847672    -0.001737946410163782      
Lambda        AB|MEGACAMPSF|z           5361.117416437893     All      8.967597097880209e-05     4.37768951559822e-06     -4.039439927100517e-05    -2.9587073017371852e-05    
Lambda        AB|MEGACAMPSF|i           4650.826073641987     All      -7.297542731507251e-05    -7.15182648976365e-05    -0.0012153312500428272    -5.376000613629686e-05     
Lambda        AB|MEGACAMPSF|r           3806.4437891307157    All      -0.0030511084817229266    0.0004241506520672001    -0.0009450567759920251    0.001089832689081179       
MWEBV         All|All|All               All                   All      -0.12019519060113337      -2.0574850143626477      0.011785722184848302      -0.6305130878899643        
Redshift      All|All|All               All                   All      5.036205282506599         -0.20305379345391117     0.08623271311092029       -1.702750877610526         
