#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_b5     3926.7683139085425    All      -0.2828254666963331        0.1676436802172887         0.7378884754006165         0.17966119480244505        
Zeropoint     Linear_AB11_off|NB99|NB99_r5     5884.8426061753125    All      0.008652949701018375       -0.02372445834488701       -4.963195595261949         -0.2320310112693135        
Zeropoint     Linear_AB11_off|NB99|NB99_v5     4914.417316920754     All      0.2387117359030106         0.2095125882258131         0.7537177803229156         0.0241238398133687         
Zeropoint     Linear_AB11_off|NB99|NB99_r10    6589.78746419274      All      0.7266154980537363         0.03378067261383677        0.8132943761001488         -0.18938550355510722       
Zeropoint     Linear_AB11_off|NB99|NB99_b10    3954.9506352715225    All      -0.7227339563806303        0.29994771152974664        -0.6534876411014467        0.303958912403739          
Zeropoint     Linear_AB11_off|NB99|NB99_i10    7079.235180852774     All      0.7095156620003921         -0.03542977819481763       2.4833738327570964         -0.1318316694161197        
Zeropoint     Linear_AB11_off|NB99|NB99_v10    4847.062226400265     All      0.3234863227651392         0.34140350997908797        0.8683353314924092         0.044586035058113635       
Check         All|All|All                      All                   All      1.0014227453463331         0.9931339260260685         0.039926559709790865       -0.0009182021628740128     
Lambda        Linear_AB11_off|NB99|NB99_b5     3926.7683139085425    All      -0.00022423976206328213    0.00012041692477622857     0.0004165938407909857      0.00013085669154002468     
Lambda        Linear_AB11_off|NB99|NB99_r5     5884.8426061753125    All      -0.00012163027906211512    -3.1830287742686366e-05    -0.0007537461251249511     -4.3854162288891055e-06    
Lambda        Linear_AB11_off|NB99|NB99_v5     4914.417316920754     All      -6.77152444414618e-05      -1.4960869691133384e-05    -0.0006738074920239429     -1.288509825959341e-05     
Lambda        Linear_AB11_off|NB99|NB99_r10    6589.78746419274      All      -0.0002909090636467907     -1.20815519928763e-05      -0.00027385443643435624    7.860242796821095e-05      
Lambda        Linear_AB11_off|NB99|NB99_b10    3954.9506352715225    All      -0.0004952112949908974     0.00016088604286252977     -0.000371900985231711      0.0001971162550086915      
Lambda        Linear_AB11_off|NB99|NB99_i10    7079.235180852774     All      -0.00037984758100160305    3.4618187823605796e-05     -0.0012434911967348634     7.951383546336565e-05      
Lambda        Linear_AB11_off|NB99|NB99_v10    4847.062226400265     All      -5.40270876480103e-05      -8.908669886412215e-05     -0.0001811928335731759     -1.9505872773823113e-05    
MWEBV         All|All|All                      All                   All      -0.671934471997814         -3.5281972424154873        0.17837611441589019        -0.9224186458445266        
Redshift      All|All|All                      All                   All      6.045179433582196          0.706558261715351          10.309080052315522         -1.2789176562539475        
