#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_b5     3926.7683139085425    All      -0.27477280018831407       0.18023323684293047        0.7647188320146888         0.18233632476132147        
Zeropoint     Linear_AB11_off|NB99|NB99_r5     5884.8426061753125    All      0.02114687328692133        0.003781461940022268       -4.570808402265082         -0.20963067181016787       
Zeropoint     Linear_AB11_off|NB99|NB99_v5     4914.417316920754     All      0.21523966131519906        0.1966737865197743         0.6645387806305909         0.023607797443311474       
Zeropoint     Linear_AB11_off|NB99|NB99_r10    6589.78746419274      All      0.7620077175955436         0.026718704807926486       0.7724903312052358         -0.2050351261929967        
Zeropoint     Linear_AB11_off|NB99|NB99_b10    3954.9506352715225    All      -0.6770980024019966        0.29039858525745643        -0.67945701595774          0.28482442230398786        
Zeropoint     Linear_AB11_off|NB99|NB99_i10    7079.235180852774     All      0.6436183528909889         -0.024393984723225515      2.188217848168441          -0.11994348287138043       
Zeropoint     Linear_AB11_off|NB99|NB99_v10    4847.062226400265     All      0.30768488382660397        0.32169558578978297        0.8738110541494273         0.04355792064548877        
Check         All|All|All                      All                   All      0.9978266863249461         0.9951073764346674         0.013511427945562149       -0.00028281572043540454    
Lambda        Linear_AB11_off|NB99|NB99_b5     3926.7683139085425    All      -0.00022745022317415404    0.0001466458398810632      0.0005606837025593229      0.0001468761336501122      
Lambda        Linear_AB11_off|NB99|NB99_r5     5884.8426061753125    All      -0.00011963290802394821    -2.5969874866455927e-05    -0.0007554298556875638     -3.202233573844936e-06     
Lambda        Linear_AB11_off|NB99|NB99_v5     4914.417316920754     All      -4.9367068196517976e-05    -6.5825717544172985e-06    -0.0004896164194297683     -7.913014012956868e-06     
Lambda        Linear_AB11_off|NB99|NB99_r10    6589.78746419274      All      -0.00028257614473057734    -5.385389186538673e-06     -0.0003482963562645904     7.47472816728957e-05       
Lambda        Linear_AB11_off|NB99|NB99_b10    3954.9506352715225    All      -0.0005157679611865531     0.0001987417082058197      -0.00040837735946805805    0.00021451530004731236     
Lambda        Linear_AB11_off|NB99|NB99_i10    7079.235180852774     All      -0.000421550866110165      1.5812244277769155e-05     -0.0013940049150353107     8.025551694726274e-05      
Lambda        Linear_AB11_off|NB99|NB99_v10    4847.062226400265     All      -4.8588609676922435e-05    -8.138149986865986e-05     -7.71464325429249e-05      -1.4124414153132943e-05    
MWEBV         All|All|All                      All                   All      -0.6645072733644914        -3.529761772080242         0.1854872372122917         -0.925030210820087         
Redshift      All|All|All                      All                   All      6.198514379811407          0.6081690596461797         11.039392623314262         -1.3283219969938673        
