#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                   dmB/dP                     ds/dP                    dc/dP                     
Zeropoint     VEGAHST|ACSWF|F775W          3663.8672930423227    All      -3.5744622225787306      -0.12462186623416471       -0.49024777255974955     1.1018489939752054        
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4267.1793249911125    All      4.569099967527847        1.1254632545801613         0.4976957784750904       -1.099495892930488        
Check         All|All|All                  All                   All      0.9946377449491162       1.0008413883459966         0.0074480059153408384    0.0023531010447173095     
Lambda        VEGAHST|ACSWF|F775W          3663.8672930423227    All      -0.007355133581808801    -0.00030155159729327436    -0.002516603069226001    0.0021852792716715195     
Lambda        VEGAHST|ACSWF|F850LP_3pix    4267.1793249911125    All      -0.00074824968431473     -0.00022420388949560282    -0.004814037590718589    -4.412943163170018e-05    
MWEBV         All|All|All                  All                   All      -0.15221696301957421     -1.3912094449837653        -0.018673816857327045    -0.4044139396982557       
Redshift      All|All|All                  All                   All      12.47703101750126        1.2827743090660704         4.5304675743629925       -3.444163729885166        
