#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F775W          3663.8672930423227    All      -3.381620694801565        -0.10884682140908097       0.3988023067853952        1.083846836945304         
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4267.1793249911125    All      4.373513576401834         1.1093176340336797         -0.40315724299513356      -1.0812470634066733       
Check         All|All|All                  All                   All      0.9918928816002681        1.0004708126245987         -0.004354936209738369     0.002599773538630723      
Lambda        VEGAHST|ACSWF|F775W          3663.8672930423227    All      -0.004677288025584808     -0.00025819785692965305    0.0014000009181579052     0.0015019186626849472     
Lambda        VEGAHST|ACSWF|F850LP_3pix    4267.1793249911125    All      -0.0013061187622613437    -0.0004257590804470913     -0.0031127711704222213    0.00014785343044508405    
MWEBV         All|All|All                  All                   All      -0.17870786219485835      -1.3927954428922362        -0.041436790785898125     -0.39731740098861434      
Redshift      All|All|All                  All                   All      9.461742900670547         1.6791731144378375         -1.395867756605984        -2.597330185305449        
