#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           7084.083649885487     All      0.39228249050494496        -0.026230860397369327      0.22047539961581383        -0.1264847625911882        
Zeropoint     AB|MEGACAMPSF|r           5027.900625722859     All      0.05145853676751433        0.7188668090794437         0.5658441378187536         0.24264785641469008        
Zeropoint     AB|MEGACAMPSF|i           6147.438594413431     All      1.308560510806683          -0.10070616302595425       -0.41579208236484816       -0.47759941013570734       
Zeropoint     AB|MEGACAMPSF|g           3940.2458038426958    All      -0.7581401252308024        0.40823996472774127        -0.3657845822176594        0.3636050821481187         
Check         All|All|All               All                   All      0.9941614128483399         1.0001697503838614         0.004742872852059932       0.0021687658359132445      
Lambda        AB|MEGACAMPSF|z           7084.083649885487     All      -0.00011520939718045732    6.87175537683242e-06       -7.312702894561261e-05     3.650252429698398e-05      
Lambda        AB|MEGACAMPSF|r           5027.900625722859     All      3.629620502944438e-05      -0.00013703145425232138    -0.001332270036557789      -0.00011591161377530388    
Lambda        AB|MEGACAMPSF|i           6147.438594413431     All      -0.00020612502859061922    -5.0574567369419456e-06    -0.00010979359362830187    6.0594739259478804e-05     
Lambda        AB|MEGACAMPSF|g           3940.2458038426958    All      -0.0007199982712748887     0.0002440339291683977      -0.001397426623041342      0.0002516562713637207      
MWEBV         All|All|All               All                   All      -0.5077135120091723        -3.0699761943209225        0.08500982999172675        -0.8308196532908415        
Redshift      All|All|All               All                   All      4.768313733734479          0.1526793054482667         2.3356287541760055         -1.3992355990111076        
