#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           7084.083649885487     All      0.3898545616527926         -0.031702336967143196     0.1571749958852231        -0.13030095250282092      
Zeropoint     AB|MEGACAMPSF|r           5027.900625722859     All      0.06623564843049945        0.7218093536843995        0.7114989535677685        0.24529285403670498       
Zeropoint     AB|MEGACAMPSF|i           6147.438594413431     All      1.2805022303123603         -0.10765002780654953      -0.5034503961741543       -0.4746335382393385       
Zeropoint     AB|MEGACAMPSF|g           3940.2458038426958    All      -0.7422539505954209        0.4185947625217068        -0.35498859034908126      0.36228510626687416       
Check         All|All|All               All                   All      0.9943384898002317         1.0010517514324135        0.010234962929756009      0.002643469561419698      
Lambda        AB|MEGACAMPSF|z           7084.083649885487     All      -9.933909288648104e-05     5.955374511659561e-06     -6.443207231554419e-05    3.142256465501988e-05     
Lambda        AB|MEGACAMPSF|r           5027.900625722859     All      2.142858340003763e-05      -4.598249805796143e-05    -0.0012591064107811808    -7.814614323616314e-05    
Lambda        AB|MEGACAMPSF|i           6147.438594413431     All      -1.0667854623842951e-06    -1.812887099194711e-05    -6.774010783694577e-05    -8.580612476620322e-06    
Lambda        AB|MEGACAMPSF|g           3940.2458038426958    All      -0.0008866346718957117     0.00034372453365517295    -0.0016079647751734997    0.0003290123880625782     
MWEBV         All|All|All               All                   All      -0.5049605830465076        -3.072274870694436        0.0896889327970607        -0.8322563204738537       
Redshift      All|All|All               All                   All      4.534926385113047          -0.3959065275644491       2.847417033592814         -1.4790673547476485       
