#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6446.624534243442    All      1.132106150666424         -0.14681039508294344      0.0775156128132302        -0.4131260282716466        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5434.102954768064    All      0.7275110620508858        0.3590735233630772        -0.04557882028256838      -0.12204620099886662       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7991.410146813539    All      0.34988492986805614       -0.07368893413953609      0.12192459919956608       -0.13253100779063573       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4431.732953743837    All      -1.2100160258726038       0.8593409105229807        -0.15271694463739036      0.6672425781694664         
Check         All|All|All                       All                  All      0.9994861167127626        0.9979151046635784        0.001144447092837536      -0.0004606588916825638     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6446.624534243442    All      -0.0003578640596536914    3.2497522351613404e-05    -0.0003354889896102625    0.00011218227701260549     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5434.102954768064    All      3.626631144257157e-05     -4.656615041026255e-05    -0.0009884950362965324    -7.109325140894433e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7991.410146813539    All      8.746131232424722e-05     -1.525343576022313e-05    0.00011949577842189779    -2.8125024899241156e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4431.732953743837    All      -0.0004012976333045916    1.7996059474943737e-05    -0.0018148930401202799    5.558740921272214e-05      
MWEBV         All|All|All                       All                  All      -0.871820808364367        -4.126414639732079        0.04928994084588175       -1.0579287001536894        
Redshift      All|All|All                       All                  All      3.048645120400377         0.36770859002344874       0.9947273461944333        -0.8288791152926028        
