#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6446.624534243442    All      1.1353309183593727        -0.165445155087518         0.33513495779446956        -0.40875002743617217       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5434.102954768064    All      0.6763073265779265        0.3210864004264735         -0.19248013912794848       -0.12429664664885404       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7991.410146813539    All      0.38338326928007116       -0.08725221235301728       0.21484059249556875        -0.14371411089941222       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4431.732953743837    All      -1.2085821227733802       0.9106138993370316         -0.46635607726328576       0.6694805340473425         
Check         All|All|All                       All                  All      0.9864393914439903        0.9790029323229699         -0.10886066610119594       -0.0072802509370958335     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6446.624534243442    All      -2.825543343251589e-05    -3.1188399778529314e-06    -3.9140672632880256e-05    6.4411470045466995e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5434.102954768064    All      0.00015364922997992226    7.746086560378431e-05      -0.001029950527331995      -7.077901844319912e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7991.410146813539    All      3.6292931168933976e-05    -1.8228032366738195e-05    -5.635655358291551e-05     -2.0274205660108012e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4431.732953743837    All      -0.0007737295909024467    0.0004068184474827065      -0.001260041560357553      0.0003283134673016835      
MWEBV         All|All|All                       All                  All      -0.8556797541096661       -4.147924145191473         -0.03161458133171813       -1.0738031233629486        
Redshift      All|All|All                       All                  All      2.662686401975048         -1.4037735873658086        3.522677231579241          -1.1673788953141695        
