#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8317.970893911399    All      0.3494761585370739         -0.09004666163150432       0.2862604634365523        -0.13039255266376892       
Zeropoint     AB|PS|PS_g                4705.468137492901    All      -0.980794416368586         1.0254704637888246         -0.06806086012167145      0.6504692320263002         
Zeropoint     AB|PS|PS_i                7237.776176783837    All      0.8033945189458058         -0.3637366857144997        -0.4299363097333142       -0.3993591137113256        
Zeropoint     AB|PS|PS_r                5975.625099597536    All      0.8257236208062622         0.42678556277016           0.21484628688243357       -0.1203596471443677        
Check         All|All|All               All                  All      0.9977998819205558         0.9984726792129806         0.003109580464000228      0.0003579185068380286      
Lambda        AB|PS|PS_z                8317.970893911399    All      0.0004951769928859164      -9.921959403708904e-05     0.0003424294780605871     -0.00017833346854355216    
Lambda        AB|PS|PS_g                4705.468137492901    All      -0.0005550363574153672     0.00045743351894553865     -0.0006342267595140654    0.0003014921206213287      
Lambda        AB|PS|PS_i                7237.776176783837    All      -0.00013721974125344442    -1.3900190267917686e-05    -0.00216066158381546      -5.625116807726101e-05     
Lambda        AB|PS|PS_r                5975.625099597536    All      -0.0001745396783589322     0.0001340415473965165      -0.001126687321478631     5.023617677943852e-05      
MWEBV         All|All|All               All                  All      -0.6328805519593681        -4.015784602323791         -0.010475357150085962     -1.1023906105192132        
Redshift      All|All|All               All                  All      7.76103808045139           -5.060067003473634         14.010815516205987        -3.5510173805227376        
