#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8317.970893911399    All      0.3666822589859964         -0.09139854893938093      0.2722412656328718        -0.1370631122259524        
Zeropoint     AB|PS|PS_g                4705.468137492901    All      -1.031488808616106         1.0371114376142465        -0.19374455038857755      0.6651652256765854         
Zeropoint     AB|PS|PS_i                7237.776176783837    All      0.7971287841878496         -0.4474762735012128       -0.3493511665048275       -0.4209987516287374        
Zeropoint     AB|PS|PS_r                5975.625099597536    All      0.8674368922575737         0.4969825277663986        0.2787404387217332        -0.10823026852973866       
Check         All|All|All               All                  All      0.9997591268153141         0.9952191429400514        0.007885987461200006      -0.0011269067078431005     
Lambda        AB|PS|PS_z                8317.970893911399    All      0.0004457217708377121      -6.319126874515329e-05    0.000335766424585411      -0.00015078600632399482    
Lambda        AB|PS|PS_g                4705.468137492901    All      -0.0004856612070363983     0.00038755397080232314    -0.0005969421835011203    0.0002577961233547453      
Lambda        AB|PS|PS_i                7237.776176783837    All      -0.00011713232683493852    6.65441084291327e-05      -0.0020065197564605283    -2.9712303378182794e-05    
Lambda        AB|PS|PS_r                5975.625099597536    All      -0.0002005037193226674     0.00010736354424790692    -0.0010895762394483417    5.1659712953143816e-05     
MWEBV         All|All|All               All                  All      -0.6418330049356826        -4.01217824299005         -0.007023702977460343     -1.0981457607043257        
Redshift      All|All|All               All                  All      7.826568029952139          -5.242378232550848        13.02063295521979         -3.67593470607097          
