#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6292.119340978588     All      0.12054739586478568        0.02471948719264816        -0.06730372756715529       -0.03421775874554977      
Zeropoint     AB|SDSS|SDSS_r            4364.165369869738     All      1.0693946191817225         0.6183238970685068         1.400668094382315          -0.08442318996183669      
Zeropoint     AB|SDSS|SDSS_g            3339.8345762921       All      -1.0414244954097454        0.1191887108191736         -0.5321690148281325        0.35430164534119374       
Zeropoint     AB|SDSS|SDSS_i            5292.3132893892325    All      0.8481299220216046         0.23610151899955412        -0.8021452931401808        -0.23515384631343825      
Check         All|All|All               All                   All      0.9966474416583677         0.9983336140798826         -0.0009499411531534996     0.00050685032036904       
Lambda        AB|SDSS|SDSS_z            6292.119340978588     All      -3.281287796956997e-05     -7.286034874842741e-06     -2.155844663127231e-06     8.218727158266709e-06     
Lambda        AB|SDSS|SDSS_r            4364.165369869738     All      -0.00040388966005205603    -0.00013836859594219123    -0.002684761149739865      -3.331961348680673e-05    
Lambda        AB|SDSS|SDSS_g            3339.8345762921       All      -0.0016524970935883018     0.00019138653175767453     -0.001459407226752257      0.0005354869170296147     
Lambda        AB|SDSS|SDSS_i            5292.3132893892325    All      0.00021964447424949434     6.359927372764324e-05      -0.00012525274545860683    -5.64185103093421e-05     
MWEBV         All|All|All               All                   All      -0.8029584998955523        -2.534640010355993         -0.24086806520441476       -0.5748144740695262       
Redshift      All|All|All               All                   All      2.9762838575411363         0.8157981136932335         -0.36865244196525687       -0.7201925499664962       
