#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6292.119340978588     All      0.06633047870227911        0.017061781488614258       0.07338893447592643       -0.012773424492007468     
Zeropoint     AB|SDSS|SDSS_r            4364.165369869738     All      1.3590342883615287         0.672439163442462          1.4220056057344888        -0.160189041346398        
Zeropoint     AB|SDSS|SDSS_g            3339.8345762921       All      -1.153282416471406         0.06771131648442008        -1.253370721142788        0.34178564956327817       
Zeropoint     AB|SDSS|SDSS_i            5292.3132893892325    All      0.7266296778213504         0.24143404239804767        -0.24178808470523006      -0.1688340726475307       
Check         All|All|All               All                   All      0.9987120284137525         0.998646303813544          0.00023573436239709977    -1.088892265799224e-05    
Lambda        AB|SDSS|SDSS_z            6292.119340978588     All      -1.2210362880793272e-05    -5.0003394740013765e-06    0.00019816661870012556    1.1191807872543682e-05    
Lambda        AB|SDSS|SDSS_r            4364.165369869738     All      -0.0007223278994483242     -0.000263361368976531      -0.0030084533302833574    1.5247043720838187e-05    
Lambda        AB|SDSS|SDSS_g            3339.8345762921       All      -0.0010153960974286869     0.000149228673721639       -0.0007536401574879105    0.00034572510409592254    
Lambda        AB|SDSS|SDSS_i            5292.3132893892325    All      0.00010569346736439211     3.449724910405477e-05      0.0001537466256743829     -1.632994480226283e-05    
MWEBV         All|All|All               All                   All      -0.9201013286884774        -2.537666684219708         -0.25630201147390785      -0.5383318342355559       
Redshift      All|All|All               All                   All      2.5783657521428123         1.130298181650069          -7.837012683978106        -0.8214131297061056       
