#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5455.286816872295     All      0.363679152966237          0.10257803065307769        -0.1194144429702685        -0.09037814364823651       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4360.557477032026     All      -0.4169925994237039        0.26194556383085654        -0.09013354698996244       0.21713024994036992        
Zeropoint     AB|CNIa02|SDSS_i                      7459.137689755319     All      0.1943720429508014         -0.03483960530270558       0.026374151226907554       -0.07348481743824777       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4696.2904951717255    All      -0.36663051070076025       0.35636779279926145        0.09555820456762813        0.2397686571745234         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6190.742142075022     All      0.6118734710281271         -0.0503712800165701        0.17013107031134078        -0.2081227343361705        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7512.31981008417      All      0.20364291958607006        -0.03319416691529575       0.08452485242071568        -0.07337367482727289       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5466.071339128068     All      0.42255877203786346        0.09339097578466848        0.11184232448753642        -0.10222977126983795       
Zeropoint     AB|CNIa02|SDSS_r                      6150.9794705439945    All      0.5276386464867865         -0.054044431561983686      -0.0734778341703039        -0.19275229359286705       
Zeropoint     AB|CNIa02|SDSS_g                      4707.258358176945     All      -0.10558967078575492       0.07676735398423062        -0.15694444931321555       0.05239597238243486        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4361.744997251517     All      -0.4372923231997169        0.27783950088084985        -0.047476885155997746      0.23082328691016127        
Check         All|All|All                           All                   All      0.9972599009459494         0.9964397341363895         0.000983444414380412       -0.00022326870514324804    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5455.286816872295     All      3.229703073049167e-05      -2.910014022572316e-05     -0.00042437319737227117    -3.893690521049381e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4360.557477032026     All      -0.00010660702830857658    3.039205347133061e-05      -0.00018282726765397075    3.6466366811502674e-05     
Lambda        AB|CNIa02|SDSS_i                      7459.137689755319     All      -2.613231766835555e-05     -4.716177325218392e-06     -0.00010107886096726384    2.4652561532970714e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4696.2904951717255    All      -8.304679299072601e-05     -0.00011786895486304725    -0.0009520826811217287     -5.3829801037784405e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6190.742142075022     All      -0.00014749068151740806    3.2691974205305322e-06     -0.0001862962100776101     4.079390819456221e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7512.31981008417      All      -4.276923340491052e-05     2.0718905236498793e-06     -8.996389153903092e-05     1.059155400251243e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5466.071339128068     All      1.787927824776677e-05      -1.60298525291853e-05      -0.00044892838711053527    -3.107893153455877e-05     
Lambda        AB|CNIa02|SDSS_r                      6150.9794705439945    All      -4.461683609072567e-05     -1.1855360453478062e-05    -0.0002108386011763778     1.262732011753697e-06      
Lambda        AB|CNIa02|SDSS_g                      4707.258358176945     All      -7.821488828205005e-05     5.7603555618874244e-05     -0.00012051930678268713    3.886231233605738e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4361.744997251517     All      -0.00022303629622839145    5.754533193004002e-05      -0.0004731033063712481     7.028223947412719e-05      
MWEBV         All|All|All                           All                   All      -0.9025922437909459        -4.083962339335256         0.020859006143498744       -1.0353460624438604        
Redshift      All|All|All                           All                   All      5.856245914191246          0.3670011237067339         6.392984664080578          -1.5027380754089488        
