#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5455.286816872295     All      0.3066211842090044         0.09340593372719752        -0.20045892625075723       -0.07839678285933571       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4360.557477032026     All      -0.3310560327846771        0.2078788655802022         -0.19841566852640824       0.1666944468328213         
Zeropoint     AB|CNIa02|SDSS_i                      7459.137689755319     All      0.17329510199862486        -0.03221726128224134       0.04803314220791499        -0.06479863934800711       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4696.2904951717255    All      -0.41746207833431925       0.45663972990022117        0.20006574995408144        0.29365173158900637        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6190.742142075022     All      0.7627528436619497         -0.07391477031895022       0.28248312983492063        -0.25992424273404424       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7512.31981008417      All      0.22506552225743076        -0.03974504303769777       0.11881480447848425        -0.08095535409823329       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5466.071339128068     All      0.39168528946608583        0.09193350618206253        0.028615516085395143       -0.09636203829977985       
Zeropoint     AB|CNIa02|SDSS_r                      6150.9794705439945    All      0.43354545528101385        -0.054391868244874075      -0.05422745716954225       -0.16135716128928834       
Zeropoint     AB|CNIa02|SDSS_g                      4707.258358176945     All      -0.035035415226442226      0.017518125668924966       -0.10380532754381555       0.012486062222105687       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4361.744997251517     All      -0.485376107963716         0.32732245149578176        -0.10921138498516392       0.25984905528225744        
Check         All|All|All                           All                   All      1.0240357625649548         0.9944296696706267         0.011893578085109269       -0.00911292270249775       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5455.286816872295     All      0.00010597917442902992     3.7608061042374294e-06     -0.0003637268707346565     -4.952734515160926e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4360.557477032026     All      -0.00016253021506497072    8.509958382917438e-05      -0.00018318375636281514    7.248652256431252e-05      
Lambda        AB|CNIa02|SDSS_i                      7459.137689755319     All      1.2543498245354607e-07     -7.698516254608959e-06     -4.27118639021937e-05      -4.454552635720861e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4696.2904951717255    All      -0.0002001968993201336     9.258587836866019e-05      -0.0003947664823631382     7.775236794952568e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6190.742142075022     All      4.485328253097667e-05      1.935240367764869e-06      3.871662910265023e-05      -1.2252072956400235e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7512.31981008417      All      -4.440493718529985e-06     -1.6794066484313858e-06    -3.2880001960303566e-05    -5.679065793039057e-07     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5466.071339128068     All      0.00012623829750813662     1.8581988251669054e-05     -0.0002930444344596044     -4.8144428917730745e-05    
Lambda        AB|CNIa02|SDSS_r                      6150.9794705439945    All      0.00015457560786169767     -2.4542465752754265e-05    -2.0925395663449358e-05    -5.927845368740863e-05     
Lambda        AB|CNIa02|SDSS_g                      4707.258358176945     All      -3.82100148615452e-05      1.8060260855652837e-05     -0.0001381665850661472     1.2163339922845558e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4361.744997251517     All      -0.00038242267920349764    0.00015681515744277332     -0.0005963622535144789     0.00014903459541198286     
MWEBV         All|All|All                           All                   All      -0.8835686153979072        -4.090435297340811         0.03390745006122131        -1.043068847323947         
Redshift      All|All|All                           All                   All      4.989337051304427          -1.2053123419261347        6.114811242991269          -1.7449251638243513        
