#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_g
@MAGSYS  Linear_AB11_off
57981.73941  14.885  0.024
57981.74222  14.883  0.024
57982.31337  14.793  0.034
57982.31618  14.734  0.04
57984.03006  14.735  0.025
57984.03196  14.741  0.025
57985.00162  14.744  0.024
57985.00351  14.732  0.024
57985.26911  14.739  0.024
57985.27099  14.742  0.023
57986.3027  14.787  0.024
57986.3046  14.789  0.024
57987.73522  14.834  0.024
57987.73711  14.84  0.024
57989.28398  14.894  0.026
57989.28587  14.893  0.024
57991.09249  15.094  0.024
57991.0944  15.097  0.024
57992.25229  15.218  0.024
57992.25418  15.213  0.024
57992.72113  15.267  0.024
57992.72303  15.264  0.028
57994.01022  15.432  0.025
57995.71642  15.599  0.027
57995.71831  15.627  0.028
57996.0647  15.687  0.025
57996.06659  15.687  0.024
57997.96407  15.991  0.025
57997.96596  15.991  0.026
57999.04977  16.106  0.025
57999.05166  16.11  0.026
57999.63471  16.283  0.035
57999.6366  16.266  0.035
58000.10346  16.199  0.036
58000.10535  16.161  0.037
58001.70255  16.392  0.036
58001.70444  16.323  0.033
58003.67451  16.589  0.033
58003.67641  16.602  0.033
58004.03518  16.62  0.028
58004.03707  16.594  0.027
58005.67936  16.75  0.043
58007.01491  16.84  0.026
58007.01679  16.858  0.026
58007.68501  16.902  0.032
58007.68782  16.871  0.034
58011.66071  17.149  0.026
58011.66354  17.167  0.025
58015.59359  17.34  0.025
58015.5964  17.338  0.025
58022.12961  17.499  0.025
58022.13242  17.496  0.025
58029.12241  17.626  0.028
58029.12524  17.634  0.028
58036.95297  17.725  0.033
58036.95579  17.739  0.032
58044.58167  17.836  0.027
58044.58449  17.845  0.028
58053.12009  17.973  0.028
58063.06983  18.114  0.029
58069.47265  18.464  0.061
58069.47663  18.448  0.057
58081.48009  18.362  0.045
58097.04553  18.653  0.029
58097.0495  18.663  0.028
