#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_R    6486.281035412429     All      0.8505234597014096         -0.22520820166667121       0.07753314242181976       -0.3469412445785966       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5427.4186657544105    All      0.8463784477482876         0.4174619996396345         -0.41653404476163536      -0.15830019942703494      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4338.281714307267     All      -1.1807646585787135        0.8228889290300856         -0.023089358795831686     0.6516255196917818        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7882.11752987294      All      0.48232834613957754        -0.01780805041127209       0.35755444809831854       -0.1469548655248795       
Check         All|All|All                                All                   All      0.9984655950105613         0.9973346765917768         -0.004535813037328751     -0.0005707898387291854    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_R    6486.281035412429     All      -0.00014650484419053805    9.301948913395687e-05      -0.0002526458929199171    6.67465296398913e-05      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5427.4186657544105    All      3.5532558981812455e-05     -0.00011060718805723165    -0.0021407976596192844    -0.0001431364906862821    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4338.281714307267     All      -0.0008688002406225561     0.000351883470245333       -0.00167503359706297      0.0003228677876450366     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7882.11752987294      All      -7.809323619756545e-06     -1.1706260630534312e-05    4.355312759829431e-05     6.742154626021354e-07     
MWEBV         All|All|All                                All                   All      -0.8118018470771475        -4.0468297836813605        0.10508688131101633       -1.0490654833435193       
Redshift      All|All|All                                All                   All      3.9401238330899497         -1.8370286349411735        6.606208024251495         -1.5870038986021722       
