#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4691.6365822839625    All      -1.0792192170064336        1.1237621596546177        0.4183891499851766        0.736254296485023          
Zeropoint     AB|PS|PS_z                8293.520516120341     All      0.3271606272617041         -0.0966600439302745       0.2180859391972323        -0.12832016205926963       
Zeropoint     AB|PS|PS_r                5958.05996344999      All      1.0769660215182348         0.14969431349562967       -1.0900167471426414       -0.35068534279516195       
Zeropoint     AB|PS|PS_i                7216.500992709918     All      0.674071761045266          -0.17906136665475358      0.45355511195321885       -0.2576534453949279        
Check         All|All|All               All                   All      0.9989791928187713         0.9977350625652193        1.3453992986356411e-05    -0.00040465376433646005    
Lambda        AB|PS|PS_g                4691.6365822839625    All      -0.00025898978996248355    2.1243577937097854e-05    -0.001228599029716522     3.6454495383849475e-05     
Lambda        AB|PS|PS_z                8293.520516120341     All      0.0002465134136395874      -6.88076414252675e-05     0.00020141780973002355    -9.37220896194924e-05      
Lambda        AB|PS|PS_r                5958.05996344999      All      -0.00017053734778136725    1.3996708249847544e-05    -0.0007079880347963026    2.8514558717954828e-05     
Lambda        AB|PS|PS_i                7216.500992709918     All      -0.0002617760437564387     2.6726741070658636e-05    -0.0006963991117905096    6.289775456410342e-05      
MWEBV         All|All|All               All                   All      -0.6770343909890073        -3.9613842495722196       0.14581069552970227       -1.0633139391842485        
Redshift      All|All|All               All                   All      6.508118233614329          -0.12433052381615184      11.306458261957419        -1.655851457831373         
