#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g                             4574.276077112446     All      -0.2428663427519493        0.390716552952064          0.44296780210544057        0.22614641191936766        
Zeropoint     AB|SDSS|SDSS_r                             5977.211383361579     All      0.5723910047042255         0.04107442292653474        -1.048754572113563         -0.21986839027923416       
Zeropoint     AB|SDSS|SDSS_u                             3478.6754299789386    All      -0.22778658865709966       0.13578500732762677        -0.009578914223013445      0.11799976701504025        
Zeropoint     AB|SDSS|SDSS_z                             8617.75944835228      All      0.13335374344923173        -0.029687484770413164      -0.11016225182024181       -0.05802392727003844       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7389.788571380936     All      0.19387975329521018        0.007451784980716525       0.517192678465982          -0.03764578871812838       
Zeropoint     AB|SDSS|SDSS_i                             7248.413512478165     All      0.3288469521512414         -0.011560819195732819      0.3872084327724259         -0.09360267624011462       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5263.791608450114     All      0.0871741766885335         0.16550058679669633        -0.2599080302757272        0.01391498695778117        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6065.542136441504     All      0.4321451976059805         0.054058358244013505       0.21346676137809467        -0.11362928112481044       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4256.340947055386     All      -0.2821631584367442        0.24416355978402748        -0.13069193993209213       0.16560974672640882        
Check         All|All|All                                All                   All      0.9949747380486295         0.9975019690455333         0.00173996635730575        0.0009008489862718794      
Lambda        AB|SDSS|SDSS_g                             4574.276077112446     All      -1.4567849946869245e-05    -4.8572811850246936e-05    -0.0003613846089888684     -2.7203470141645822e-05    
Lambda        AB|SDSS|SDSS_r                             5977.211383361579     All      -6.986672183672231e-05     5.782420027070276e-06      0.0001630667859806047      3.191833600753597e-05      
Lambda        AB|SDSS|SDSS_u                             3478.6754299789386    All      -0.00014925971621905547    4.154474188561375e-05      -0.000397533613590056      4.441118991623177e-05      
Lambda        AB|SDSS|SDSS_z                             8617.75944835228      All      -3.482408155875456e-05     6.324590213769124e-06      2.1277536659851615e-05     1.4352994884339854e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7389.788571380936     All      -6.147488913341963e-05     -4.063903353416638e-07     -0.00013719186339003334    1.3769776388808923e-05     
Lambda        AB|SDSS|SDSS_i                             7248.413512478165     All      -0.00015314485783521215    4.510008783755021e-06      -0.00024517809019889276    4.041220464551103e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5263.791608450114     All      -1.2241908385997458e-05    1.5802502292931158e-05     -0.0003942612392968603     -8.45908114160953e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6065.542136441504     All      -7.053270800131401e-05     -6.753033764255342e-06     -1.0996643784351742e-05    2.0284408481629473e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4256.340947055386     All      -0.00011453592858136938    6.196185905695923e-05      -0.0003027067725735763     4.3982723060504456e-05     
MWEBV         All|All|All                                All                   All      -0.9466966205711973        -3.8424125536828058        0.1757519922854705         -0.9353869414229639        
Redshift      All|All|All                                All                   All      4.484317278457737          0.13210123827782638        -1.3917084311772498        -1.4797655033391512        
