#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4852.105673146809     All      0.6227999840710081         0.3823501927454842         -0.5096191749057066       -0.10106437077772173       
Zeropoint     AB|SDSS|SDSS_i            5884.026190392095     All      1.2278642686602097         0.16494752821767378        0.14251031624643584       -0.3398673703963434        
Zeropoint     AB|SDSS|SDSS_g            3713.2484499510288    All      -0.9418978848568087        0.44006506738796247        0.24174295509939991       0.46093867657765114        
Zeropoint     AB|SDSS|SDSS_z            6995.616655880807     All      0.08894408976020673        0.011770124842058749       0.1365282005063584        -0.01904547278461788       
Check         All|All|All               All                   All      0.997710457634616          0.9991329131931792         0.011162296946487515      0.000961462618968123       
Lambda        AB|SDSS|SDSS_r            4852.105673146809     All      -0.0003003488302109476     -0.00010143932123554586    -0.0016883847829785492    -1.0553487391745778e-05    
Lambda        AB|SDSS|SDSS_i            5884.026190392095     All      -0.00023480091263478224    -2.9853138054452707e-05    5.532505813308143e-05     6.922713600800055e-05      
Lambda        AB|SDSS|SDSS_g            3713.2484499510288    All      -0.0014734690279704832     0.0004955794083660865      -0.0014213564048421229    0.0005779552471899671      
Lambda        AB|SDSS|SDSS_z            6995.616655880807     All      -6.78471417426746e-05      -1.1576523289746623e-05    -0.0001603832579752611    1.1172023488702671e-05     
MWEBV         All|All|All               All                   All      -0.5555678857129349        -2.93660366052908          0.1821489315230851        -0.7674532153737729        
Redshift      All|All|All               All                   All      5.26316492182674           0.3338986898061336         7.852179896375944         -1.2552174547938444        
