#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4852.105673146809     All      0.5615061940161927         0.36070852048961655       -0.4238630759962574        -0.08432147066386433       
Zeropoint     AB|SDSS|SDSS_i            5884.026190392095     All      1.294544809669097          0.1659391280531608        0.10173428448193103        -0.36308406665860316       
Zeropoint     AB|SDSS|SDSS_g            3713.2484499510288    All      -0.9969301911728962        0.4534777715351268        0.07955105860963832        0.4759955888395907         
Zeropoint     AB|SDSS|SDSS_z            6995.616655880807     All      0.13817722134259114        0.018837839280827495      0.2474490922540778         -0.027830246391842013      
Check         All|All|All               All                   All      0.9972980338549847         0.9989632593587316        0.004871359349389731       0.0007598051252812252      
Lambda        AB|SDSS|SDSS_r            4852.105673146809     All      -0.00019818256471095013    -7.318425112003633e-05    -0.0014018537527186038     -2.1842231443496728e-05    
Lambda        AB|SDSS|SDSS_i            5884.026190392095     All      -0.00021526213327889096    -2.378707608434827e-05    7.721655858054883e-05      6.581554583715893e-05      
Lambda        AB|SDSS|SDSS_g            3713.2484499510288    All      -0.0015869161704577367     0.0006172814869591291     -0.0008618698363460219     0.0006795184005985215      
Lambda        AB|SDSS|SDSS_z            6995.616655880807     All      -6.222261793282081e-05     -8.758080936320437e-06    -0.00011793746059285905    1.215215143168687e-05      
MWEBV         All|All|All               All                   All      -0.5564842536211074        -2.9440862095214015       0.09901744562142122        -0.773301812980508         
Redshift      All|All|All               All                   All      4.547671325208214          -0.43050865749965084      4.083871695128198          -1.439312560415408         
