#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     AB|SDSS|SDSS_z            6930.5915591568955    All      0.20444547657898912        0.02834536467730686        0.5744249069719931        -0.03172765460798671     
Zeropoint     AB|SDSS|SDSS_i            5829.333460504639     All      0.7753031340208663         0.07372040394670876        -2.240890255065786        -0.32852921661829654     
Zeropoint     AB|SDSS|SDSS_r            4807.004768361556     All      1.4180635615311508         0.5905247325934226         4.281902500586853         -0.07847497926948832     
Zeropoint     AB|SDSS|SDSS_g            3678.7333597888196    All      -1.3945312081142558        0.3074791057663617         -2.56506860774936         0.43993352267718416      
Check         All|All|All               All                   All      1.0032809640167504         1.0000696069838            0.05036854474370056       0.0012016721814125941    
Lambda        AB|SDSS|SDSS_z            6930.5915591568955    All      -4.000764837106312e-05     -3.4824949235809054e-06    -6.348865777066374e-05    9.064236916254491e-06    
Lambda        AB|SDSS|SDSS_i            5829.333460504639     All      -0.00019234650336939467    -2.8889662263310388e-05    0.00014745775725325794    5.982363317582431e-05    
Lambda        AB|SDSS|SDSS_r            4807.004768361556     All      -0.00018225170754699655    -7.94870490264981e-05      -0.0005427758294111062    9.252237749569017e-06    
Lambda        AB|SDSS|SDSS_g            3678.7333597888196    All      -0.002053072991512771      0.0002920597287642551      -0.006193299768966731     0.0004875083556770632    
MWEBV         All|All|All               All                   All      -0.5939727252273039        -2.893883255899965         0.1970967143037572        -0.7403610035221649      
Redshift      All|All|All               All                   All      3.8420225293123895         -0.36919835764521736       1.3035969245726697        -1.3135596443945117      
