#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6930.5915591568955    All      0.17786309471671152       0.02756194805364487       0.6346300321222561        -0.020637404645706053     
Zeropoint     AB|SDSS|SDSS_i            5829.333460504639     All      0.7615930585634132        0.055035071232723         -3.2232822363668596       -0.37398946375014663      
Zeropoint     AB|SDSS|SDSS_r            4807.004768361556     All      1.3532679174023174        0.5635413812477452        4.406813704949235         -0.06058405816824985      
Zeropoint     AB|SDSS|SDSS_g            3678.7333597888196    All      -1.2915786447431161       0.3536180501233943        -1.7809803715197372       0.4564177146476568        
Check         All|All|All               All                   All      1.0011454259393262        0.9997564506575074        0.0371811291848938        0.0012067880835542333     
Lambda        AB|SDSS|SDSS_z            6930.5915591568955    All      -8.778514037131051e-05    -1.327231779360406e-05    -0.0003022535960787639    1.078308792016801e-05     
Lambda        AB|SDSS|SDSS_i            5829.333460504639     All      -9.182205779641437e-05    -4.019010927870681e-06    0.0005052400999536351     5.114688617660968e-05     
Lambda        AB|SDSS|SDSS_r            4807.004768361556     All      -8.689697127604504e-05    -3.5392774460147e-05      -0.0005449543012720412    -7.542196240511925e-06    
Lambda        AB|SDSS|SDSS_g            3678.7333597888196    All      -0.0022297391617747296    0.00046141215886383324    -0.0053466992542420145    0.0006379978901652791     
MWEBV         All|All|All               All                   All      -0.5722146808968289       -2.9036319874281347       0.10796871209897504       -0.7546011703497545       
Redshift      All|All|All               All                   All      5.054844092449965         -0.6705750089979645       8.490315451381187         -1.4860735780484389       
