#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4283.221175896361    All      -0.938689401713461         -0.13991582115782109       -0.12650678076324187       0.2545414174563765        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7668.950136805059    All      0.732203770418441          -0.4348870814617989        0.2087005111926595         -0.3708465413181908       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5258.8359102452      All      0.08073407158796808        2.2778087751740728         -0.0586054558334561        0.7130442202400396        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6392.453704304319    All      1.0214374453177975         -0.7469238249849575        -0.09458329952637409       -0.5802342613478398       
Check         All|All|All                                      All                  All      0.8956858856107454         0.9560820475694953         -0.07099502493041256       0.016504835030385467      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4283.221175896361    All      -0.0009389703751237877     -0.00013795645657352503    -0.0001387753906406059     0.0002547236775350162     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7668.950136805059    All      -0.0001170793262141615     0.00017468882679553914     -0.00019897565647049051    8.615911663623565e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5258.8359102452      All      -0.0009202895095272798     0.00038440964975405525     -0.0015008885137471105     0.00035800567846839773    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6392.453704304319    All      -0.00015415813898899197    0.00024230711052696387     -0.0008132825000637603     9.284871238020218e-05     
MWEBV         All|All|All                                      All                  All      -0.7275893189183273        -4.026393414020291         -0.0036921304151399333     -1.0746937840289374       
Redshift      All|All|All                                      All                  All      9.159661842013758          -1.2828555471646297        6.179263831240009          -3.125719297817103        
