#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F110W_faint
@MAGSYS  VEGAHST
52703.10000000009  0.33728730865886897  0.018639103793644685  22.92
52710.10000000009  0.2937649651961535  0.016233980753676797  22.92
